Gene
CARTPT_x
FABP7_x
LALBA_x
CHGB_x
S100A7_x
MUC2_x
GSTM1_y
PVALB_x
MUCL1_x
SCGB1D2_x
KRT6A_x
DHRS2_x
CPB1_x
S100A1_x
CRABP1_x
CLIC6_y
KRT15_x
OMD_y
MUC5B_x
CYP2A6_x
HLA-DRB5_y
PCSK1_x
S100P_y
CLEC3A_x
TFF1_x
CXCL14_x
CST5_x
GP2_x
CASP14_x
CAMP_x
APOD_y
HBG2_x
GLYATL2_x
S100A9_y
CLC_x
PIP_x
KRT6B_x
CALML5_x
BCAS1_x
PDZK1_x
KRT16_x
A2ML1_x
GSTA1_x
HBG1_x
HLA-DRB3
FGFR2_y
RBP5_x
TFF3_x
CYP4X1_y
DNAJC12_y
NCCRP1_x
SCGN_x
HMGCS2_x
PGK2_x
GFRA1_y
CSTA_y
VTCN1_x
GPD1_x
MAPK8IP1_y
TMSB15A_y
PNMT_x
HBD_x
WFDC2_x
S100A8_y
CEACAM5_x
S100A12_x
GRB7_x
AHSP_x
REEP6_y
SERPINB5_x
PSAT1_y
PRTN3_x
APCS_x
HPGD_y
PLIN4_x
GSTT2B_y
AKR1B10_x
AKR1C2_x
DES_x
LTF_y
COMP_y
FST_y
SCUBE2_y
OLFM4_x
GSTM3_x
MUC6_x
CRISP3_x
ITGAE_y
SCGB2A2_x
NQO1_y
KRT14_x
ADH1B_x
PGR_y
PLA2G2A_x
VKORC1_y
GSTM5_x
GDAP1_y
MAP3K3_y
PIGR_x
PLIN1_y
FCN1_x
STC2_y
KCTD16_x
S100B_y
ERAP2_y
AGR2_x
LGALS7_x
MFAP4_x
KRT17_y
SKOR1_x
KRT36_x
TBCE_y
PTN_y
SSR3_y
