epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100
8.34,10.38,7.27,5.4,9.2,7.14,5.74,6.428,8.141,1.15
8.75,6.297,5.206,5.502,9.14,9.2,4.180,8.170,2.70,7.215
2.208,3.12,8.141,5.535,1.11,8.141,7.258,6.483,6.508,7.273
4.132,8.131,6.341,5.206,4.278,9.21,6.357,6.508,5.535,2.35
3.41,3.176,6.428,1.11,5.223,7.273,6.460,7.215,4.389,2.70
2.239,6.24,4.278,8.122,9.21,1.11,5.206,9.2,6.483,5.535
8.130,7.310,3.28,8.141,5.206,6.428,9.14,4.180,7.215,8.104
7.37,8.141,3.412,8.170,4.33,6.357,8.178,5.535,6.460,7.30
3.17,5.122,4.180,5.125,8.122,9.14,5.78,8.141,6.414,4.33
3.268,6.328,5.502,3.412,7.308,4.180,6.428,4.389,9.2,6.341
5.389,5.260,9.21,8.178,8.141,3.412,9.21,5.502,9.14,6.508
5.205,4.534,6.297,5.38,6.357,5.74,6.508,5.74,6.428,5.74
6.81,4.33,5.122,6.460,6.508,6.414,1.11,5.122,9.21,1.11
4.347,6.357,3.17,5.466,5.466,7.308,4.389,7.273,3.322,6.286
4.236,5.531,5.535,4.33,5.502,5.535,7.215,6.357,7.30,6.414
3.412,6.403,6.57,4.278,5.122,8.122,7.273,5.206,3.17,6.460
2.225,7.132,8.178,6.341,5.4,6.508,5.535,1.15,8.117,5.206
3.83,8.186,8.104,6.428,3.412,3.322,5.5,6.286,5.74,8.117
6.483,3.275,5.13,5.5,5.74,5.5,5.122,9.21,6.286,5.502
5.78,5.38,3.275,6.297,4.180,5.206,3.388,3.322,1.15,1.22
3.275,11.23,4.33,5.223,7.107,4.265,2.272,2.215,1.11,3.388
8.104,6.428,7.310,3.17,3.28,4.33,4.265,4.33,5.13,6.357
