Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A2-A0CM,0.5909953,0.8537736,0.63171226,0.64027816,0.28660336,0.6671813,0.68300086,0.48672247,0.9112557,0.6663953,0.48280072,0.9409348,0.605923,0.13094877,0.3036511,0.59770966,0.8764225,0.57789934,0.1377969,0.15927155,0.59091747,0.7443346,0.44114247,0.90397584,0.7548417,0.27815193,0.3602196,0.09392789,0.45249486,0.5264759,0.6121107,0.27874336,0.48041445,0.32346722,0.46145755,0.34792334,0.48950034,0.5392691,0.5049148,0.3529157,0.47954708,0.73200965,0.21055225,0.1748867,0.70381993,0.58447075,0.85261345,0.6736335,0.47596425,0.62673104,0.5559702,0.6748305,0.6783168,0.14008057,0.11589059,0.84261763,0.3941521,0.48580998,0.2518283,0.7211681,0.74504006,0.6387665,0.20052904,0.5900328,0.2908154,0.46283403,0.7333619,0.79061615,0.4754817,0.26534265,0.3339485,0.19221157,0.74874866,0.46287012,0.83910555,0.34888005,0.7009111,0.16464886,0.114578314,0.82539344,0.8451488,0.44604,0.81350833,0.42476264,0.670841,0.56548655,0.4961623,0.6241466,0.27369064,0.84666324,0.57727236,0.18073036,0.53326654,0.8641509,0.8354276,0.8549954,0.30349204,0.88576806,0.23842138,0.49520153
A2-A0CP,0.45972055,0.8229251,0.84570676,0.39251572,0.30878615,0.5721335,0.61194396,0.26284742,0.103592455,0.24026039,0.8984772,0.34055936,0.71797955,0.8764239,0.659871,0.3782146,0.85036063,0.6152919,0.57030743,0.5175322,0.91294575,0.4880085,0.58824575,0.77135444,0.45009923,0.7491587,0.8469552,0.674941,0.42342085,0.5594182,0.119867355,0.41386315,0.109615535,0.2636649,0.7588162,0.25610656,0.84317994,0.61738914,0.77562475,0.7288865,0.39909756,0.65056235,0.717288,0.7657445,0.38658768,0.44614312,0.12939288,0.5125747,0.6372931,0.53819865,0.68695664,0.73237354,0.30817968,0.64145714,0.45163235,0.74107045,0.20390175,0.5084346,0.5025492,0.6087356,0.46841282,0.7091755,0.70540255,0.39477122,0.4530266,0.074141294,0.49574095,0.44689375,0.6140149,0.18439314,0.6859533,0.36466873,0.54626644,0.1860576,0.40989774,0.34689388,0.42508966,0.792215,0.55873036,0.7912512,0.10822418,0.53895396,0.5625286,0.26509655,0.47871011,0.2006231,0.77492917,0.48870715,0.517015,0.7340319,0.5203977,0.3913163,0.6614128,0.15981598,0.29941761,0.14649577,0.84325135,0.5845544,0.7073461,0.3643327
A2-A0CS,0.7322315,0.21223058,0.8876643,0.5678555,0.7874269,0.53541887,0.27150908,0.558972,0.3859774,0.18492673,0.76121867,0.5066492,0.36924988,0.87740445,0.50782037,0.42706487,0.7567188,0.66222167,0.6487995,0.6129857,0.9093234,0.75877726,0.6271601,0.2544532,0.43562856,0.57745147,0.59128094,0.48607183,0.11296354,0.62411296,0.13718484,0.44577295,0.3553713,0.30914044,0.8715123,0.54215765,0.83616203,0.51667285,0.57479936,0.6888025,0.6789751,0.58000517,0.37585127,0.8816035,0.57837427,0.40519756,0.22535369,0.41781187,0.69720703,0.71884644,0.5380818,0.47030562,0.55043834,0.91067445,0.42071116,0.50736225,0.7652603,0.203065,0.8065058,0.70045745,0.6568465,0.25068855,0.6829032,0.40298128,0.8456376,0.12391257,0.1696332,0.21006368,0.72754085,0.20158872,0.71937835,0.5448231,0.45329863,0.5295899,0.6291788,0.5639307,0.6179757,0.7145769,0.49159533,0.82872295,0.2214646,0.58756316,0.4099219,0.55096084,0.14091364,0.44802704,0.47486264,0.1982801,0.64513105,0.74129796,0.40373152,0.5746753,0.6528969,0.23859586,0.21097893,0.21647553,0.7565105,0.6770066,0.83079195,0.1575591
A2-A0CX,0.62567556,0.24989238,0.3510877,0.24411125,0.77265245,0.43948293,0.28097278,0.4215368,0.1676375,0.3540065,0.1899556,0.33122772,0.6526946,0.8535391,0.5968255,0.71765935,0.66033155,0.8977071,0.33928537,0.33830914,0.4226308,0.536368,0.6662105,0.566349,0.7104355,0.87417763,0.34672213,0.30394253,0.16112371,0.23533913,0.3627408,0.68018526,0.48727503,0.17731601,0.49373496,0.37092885,0.35755825,0.31076336,0.7534295,0.43039322,0.817225,0.67189217,0.6153069,0.5387165,0.8933797,0.29053086,0.45519352,0.6200402,0.5768219,0.70155716,0.62085545,0.86043036,0.28881213,0.5744452,0.7238061,0.900597,0.8827531,0.2886939,0.42413104,0.25549293,0.73478913,0.4874593,0.2601647,0.7041476,0.5519518,0.5206306,0.15610689,0.37630582,0.4622908,0.48889983,0.51866084,0.38203028,0.8311165,0.83821106,0.39340475,0.77070266,0.7845785,0.577067,0.15518215,0.43806064,0.3679573,0.6298123,0.6391647,0.7526158,0.8544953,0.3455401,0.36246723,0.40315637,0.7577763,0.5356227,0.84911144,0.59126616,0.34893084,0.28122684,0.5720066,0.370352,0.7795398,0.5001899,0.5302073,0.55619633
A2-A0D0,0.8948579,0.44203827,0.47032377,0.57254136,0.72343796,0.7615694,0.6077731,0.77179474,0.5496466,0.83514833,0.48482984,0.85764265,0.6346696,0.40992475,0.109594725,0.07825911,0.7952993,0.70263344,0.18373777,0.12046923,0.9522246,0.17144343,0.45633256,0.87750953,0.88609207,0.66882443,0.19775921,0.083352596,0.16927713,0.27121088,0.8374783,0.15771326,0.1386202,0.28200454,0.7401658,0.12088309,0.71447104,0.49281526,0.81914234,0.7993541,0.09880381,0.7731397,0.3691979,0.24013457,0.92057943,0.80220747,0.48332143,0.5185494,0.057433024,0.7309255,0.5373561,0.4516254,0.37487516,0.186337,0.26999652,0.93655956,0.1011136,0.55888975,0.19190927,0.9354743,0.765176,0.14415844,0.8278925,0.13207327,0.37754807,0.3614127,0.8225397,0.85738915,0.17667001,0.22330731,0.15071808,0.15339994,0.5689537,0.104253225,0.90512806,0.5519679,0.15792668,0.47579193,0.21072836,0.88763094,0.6877759,0.6207116,0.72754854,0.16741651,0.8994109,0.3911022,0.08707597,0.7645024,0.21795367,0.92094517,0.9305091,0.4890038,0.21415177,0.5841308,0.78259206,0.36366725,0.7225515,0.84942067,0.2689101,0.8145933
A2-A0D2,0.77836114,0.87227976,0.42420533,0.7510344,0.41077286,0.20059419,0.71495646,0.5206318,0.6220261,0.72671247,0.4854098,0.786978,0.8310478,0.38103238,0.15659456,0.3246832,0.890967,0.6264349,0.6301236,0.21360426,0.7487184,0.35306555,0.6277783,0.5587132,0.8172105,0.6208596,0.25082088,0.2330929,0.3211818,0.3374805,0.7920453,0.2054063,0.19010164,0.30341628,0.37529713,0.13656798,0.288494,0.7875818,0.60175544,0.57185423,0.24175492,0.57308304,0.55166405,0.41368175,0.740039,0.73399746,0.7771075,0.6767348,0.2343491,0.52390397,0.32153088,0.48953187,0.29112333,0.2914944,0.16945925,0.85057694,0.4319618,0.530057,0.13609026,0.60283816,0.8087658,0.6097035,0.16545993,0.12964883,0.5955581,0.6261798,0.75863075,0.5264113,0.22537562,0.1835705,0.58508754,0.17909607,0.8052524,0.21088006,0.84360373,0.39095205,0.53154314,0.7627232,0.20518464,0.8337677,0.78620476,0.58801764,0.75169444,0.17593819,0.8950618,0.45668313,0.24372649,0.8199003,0.22853029,0.93207246,0.7538727,0.1461529,0.6145221,0.58332455,0.8789787,0.47180843,0.70519805,0.56196094,0.568265,0.7279844
A2-A0D3,0.8169347,0.22920363,0.5862691,0.45166454,0.42702913,0.5152986,0.3259075,0.66053295,0.85553944,0.64596605,0.6547049,0.1987831,0.44910306,0.5934792,0.3936606,0.47800913,0.30801558,0.71692705,0.6485096,0.7466127,0.40065664,0.8238323,0.59412557,0.34872514,0.41613325,0.6169573,0.46757096,0.72599185,0.23278481,0.8787315,0.3923012,0.4884897,0.4766879,0.63537407,0.59423274,0.50205916,0.8476898,0.34667668,0.868526,0.36766446,0.4191529,0.7958987,0.6482334,0.4404183,0.23519303,0.26435828,0.10695371,0.7162216,0.8530242,0.74899644,0.28931355,0.56886405,0.5559627,0.6994976,0.36581185,0.16308558,0.8645092,0.42777365,0.7965791,0.7405271,0.3577386,0.7720874,0.6805396,0.30922768,0.8687329,0.49574056,0.33530253,0.6368273,0.70485455,0.7938962,0.25372952,0.5409891,0.21167082,0.7135252,0.4481189,0.4815371,0.63403773,0.44031727,0.67880785,0.7478312,0.3576059,0.6660248,0.4096987,0.7092422,0.27651465,0.5447589,0.5251951,0.32603914,0.247622,0.15012807,0.612605,0.73797005,0.25613362,0.699317,0.19962387,0.38806334,0.16912878,0.873675,0.75634307,0.1684641
A2-A0EO,0.15936688,0.5740508,0.85483146,0.1705643,0.46391836,0.30403605,0.63278115,0.29126036,0.33371493,0.67882276,0.79410833,0.59862113,0.70615643,0.83618754,0.5385155,0.73587066,0.77605593,0.66737676,0.58990747,0.42551494,0.80087996,0.5873505,0.7113534,0.4373618,0.22731778,0.5108218,0.79079217,0.42306837,0.36614078,0.8556565,0.35681537,0.5310891,0.45787668,0.61540234,0.5707731,0.44422704,0.6661159,0.5162757,0.51242787,0.22459191,0.8242718,0.7134395,0.8250437,0.8872235,0.34359515,0.1656518,0.19273767,0.44844648,0.73458266,0.49541295,0.71579945,0.7400328,0.7373369,0.72293735,0.70403135,0.7785286,0.65336055,0.517068,0.4158684,0.3471153,0.55468124,0.5884072,0.41906124,0.69764954,0.45578593,0.5433953,0.21673764,0.40505803,0.6466379,0.25117493,0.49418107,0.55407715,0.62758225,0.28184047,0.323298,0.47904843,0.42382777,0.8237271,0.62352914,0.4842394,0.16375127,0.7985699,0.33674234,0.5253886,0.49953035,0.38492665,0.73595953,0.30584538,0.59728307,0.45833454,0.4813268,0.3537894,0.5250744,0.2811202,0.34431285,0.24554816,0.47441092,0.5063781,0.66082764,0.47339565
A2-A0ES,0.16163036,0.78602767,0.7145967,0.42702818,0.31796372,0.40897635,0.8368463,0.61903614,0.41398358,0.28271616,0.5797142,0.67501134,0.8116435,0.92358357,0.7185207,0.60891974,0.49686214,0.44285265,0.63344747,0.2605121,0.76996106,0.5994226,0.6467188,0.53967965,0.36515045,0.28012887,0.8705062,0.85690206,0.7226574,0.62367517,0.48886618,0.54371655,0.4046756,0.9097235,0.35639867,0.54966927,0.44746178,0.5758758,0.49001738,0.13019459,0.47679746,0.5050725,0.8232872,0.72393584,0.12369312,0.19405928,0.27887487,0.5232342,0.7520406,0.31831157,0.33762363,0.30098987,0.67293626,0.51683825,0.8059373,0.43679875,0.22765893,0.8026713,0.5358603,0.49405357,0.29381087,0.8284042,0.5520643,0.5889213,0.6177431,0.6606101,0.59012645,0.28109324,0.3049392,0.8281586,0.7649919,0.35872304,0.44819427,0.1250068,0.3916688,0.64820135,0.47533843,0.839563,0.7613632,0.559889,0.19833085,0.65275025,0.40661886,0.62580997,0.76271725,0.61689436,0.8205268,0.693268,0.36122578,0.20681626,0.61997175,0.20157737,0.5825882,0.47662312,0.25744292,0.42080516,0.17455232,0.39789647,0.4695853,0.70424545
A2-A0EU,0.6888571,0.46456397,0.7222002,0.6274446,0.19484943,0.85242826,0.60107535,0.31838143,0.6897232,0.54800683,0.8911568,0.3608348,0.504323,0.54636997,0.65130484,0.6746048,0.6407398,0.46424246,0.6139685,0.7617568,0.36282045,0.5134945,0.60997415,0.59766173,0.34877184,0.5374635,0.72973377,0.86537176,0.79318213,0.5800727,0.31002095,0.87274736,0.6917788,0.47502303,0.49484572,0.89600194,0.7396555,0.6617333,0.13488364,0.7687532,0.22122762,0.40849885,0.8991821,0.6200969,0.40610853,0.87747335,0.5779576,0.47462898,0.48684025,0.16915916,0.798481,0.7409979,0.43652996,0.56602496,0.686338,0.6765909,0.23020776,0.77808714,0.5315307,0.8326409,0.4495635,0.5866946,0.8124278,0.67593354,0.29405758,0.21175432,0.880507,0.6605063,0.6595429,0.6794871,0.40746838,0.6905384,0.2366561,0.40082332,0.37496462,0.24945146,0.13554439,0.5974152,0.79789007,0.45670748,0.44600415,0.2696716,0.3929122,0.5200631,0.34262237,0.3261953,0.301683,0.3153407,0.6804478,0.5900525,0.6946286,0.42701408,0.67324764,0.72150284,0.35878265,0.19510531,0.8489017,0.12742707,0.6417055,0.61891705
A2-A0EV,0.5165808,0.4125709,0.6260557,0.68983,0.33940318,0.47940028,0.5131605,0.2723192,0.4251395,0.41219664,0.7876959,0.78391737,0.16575882,0.46978256,0.646549,0.7199128,0.6112073,0.4241016,0.58458287,0.6511018,0.7456341,0.83867013,0.4593356,0.41695678,0.32898888,0.49565658,0.5927577,0.4919925,0.72595394,0.7636498,0.24375439,0.718171,0.7329467,0.49609926,0.5987323,0.8475653,0.55763507,0.68618536,0.46514702,0.60943675,0.65143615,0.18219376,0.6106204,0.70122,0.8476074,0.6395342,0.5185344,0.7558211,0.1621724,0.35525823,0.33529472,0.66994977,0.7178112,0.6126077,0.6594041,0.7441986,0.5573381,0.64709276,0.7238476,0.3191734,0.18538684,0.5748563,0.38174212,0.58735967,0.56866515,0.22028726,0.3899572,0.28675544,0.7940494,0.5045665,0.44445068,0.8659734,0.6458724,0.5975822,0.2892089,0.2521643,0.47462526,0.25373787,0.6572905,0.8337563,0.7341887,0.46444303,0.4832043,0.7042483,0.238743,0.12202172,0.34367526,0.44811094,0.57011104,0.592959,0.35729063,0.77091974,0.5575589,0.42930195,0.6649381,0.44705734,0.7056864,0.3842435,0.46243894,0.46383962
A2-A0EW,0.15131927,0.5302631,0.830867,0.39418995,0.18634576,0.3704771,0.9315225,0.71424824,0.16914082,0.19353646,0.47328836,0.66182005,0.56827676,0.79421365,0.85613966,0.69400835,0.761179,0.22424184,0.732137,0.54663604,0.7605573,0.66386044,0.4419784,0.3263197,0.42286465,0.6864994,0.8842671,0.87461746,0.6352699,0.6419757,0.47340277,0.6219611,0.3992448,0.8922694,0.2889975,0.7413882,0.5718166,0.44635954,0.4141763,0.24575895,0.5739367,0.18059714,0.667822,0.6939256,0.5908554,0.15949932,0.352074,0.8319686,0.50923634,0.4044078,0.32261342,0.43856952,0.81639236,0.29128397,0.95642793,0.45070076,0.25147432,0.88892144,0.7514914,0.3022759,0.5553982,0.761486,0.6823296,0.7025746,0.4572575,0.13415563,0.60057837,0.22259781,0.32196516,0.4913134,0.7325568,0.74138606,0.7114587,0.19277126,0.25638983,0.49510577,0.3190229,0.66861534,0.87626886,0.50329685,0.6327776,0.53888714,0.26375902,0.4281297,0.647189,0.48783043,0.7988527,0.5210124,0.4945247,0.155853,0.67997086,0.37705818,0.6824439,0.3029429,0.25522396,0.72901016,0.29356492,0.39455107,0.49829894,0.769294
