Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
C3L-01061,0.3237556,0.44611377,0.5760899,0.41827288,0.5114182,0.520035,0.4979001,0.42845833,0.44032145,0.41902655,0.36156586,0.44112104,0.3785237,0.32572508,0.46737003,0.32513124,0.4976849,0.41560856,0.4651057,0.4141571,0.36659506,0.3361264,0.43006307,0.356733,0.35480073,0.5689909,0.23515418,0.31130695,0.3681997,0.39653444,0.41202182,0.42294556,0.39977163,0.43003204,0.4418919,0.56702065,0.38656098,0.4697343,0.5143616,0.42223105,0.48286015,0.3727108,0.37886623,0.44816703,0.46443862,0.33720005,0.40265316,0.42819458,0.49901602,0.4374657,0.43131608,0.3561421,0.52898395,0.39517283,0.44970888,0.3729319,0.5425548,0.51267654,0.28325465,0.43750924,0.35733908,0.5058539,0.4093735,0.50641716,0.38237184,0.46016264,0.36949974,0.39402223,0.4049728,0.40299225,0.30576247,0.43021262,0.4069742,0.45877558,0.36900216,0.50181514,0.42092988,0.41572595,0.49999753,0.3399663,0.5797641,0.4128288,0.4770413,0.35646763,0.3866666,0.3212726,0.3496092,0.3638645,0.442455,0.48502588,0.30261028,0.42498016,0.25293112,0.32035297,0.320484,0.4453769,0.42534655,0.481216,0.37779325,0.38361076
C3L-01142,0.554498,0.44594014,0.3107789,0.43392298,0.3750955,0.24147376,0.46692696,0.40457344,0.45262492,0.43062943,0.32585663,0.50887656,0.44273007,0.5886791,0.46716338,0.4424572,0.39850473,0.40288734,0.46487433,0.43242192,0.470096,0.5466459,0.43618375,0.48618174,0.35648152,0.32131633,0.46167704,0.5718026,0.3350999,0.38919035,0.42363673,0.40416026,0.45425838,0.34714907,0.50750864,0.3335764,0.40214682,0.28368452,0.3928014,0.41933206,0.45814386,0.41822493,0.4105685,0.44596833,0.300486,0.5476968,0.39969432,0.2963533,0.29757753,0.43655163,0.43972987,0.27755848,0.46039063,0.36198595,0.4429917,0.3652213,0.30557498,0.44390908,0.45814902,0.42632914,0.588534,0.5082107,0.4221884,0.36286193,0.40696037,0.33218166,0.36477757,0.3567733,0.43303543,0.4089635,0.5978328,0.42655227,0.3532596,0.45634735,0.2685045,0.29357463,0.4042856,0.5098741,0.40113235,0.40484014,0.3116915,0.4596536,0.36326498,0.40273267,0.39153987,0.3531843,0.3641096,0.35292745,0.4487912,0.24488235,0.42130882,0.31482723,0.49670944,0.50709033,0.60680676,0.42817217,0.4309224,0.39193594,0.51855415,0.33853233
C3L-01149,0.34733883,0.4449362,0.56056505,0.4175908,0.23649856,0.47171387,0.419676,0.44157213,0.31847712,0.4458102,0.44729853,0.35749862,0.43763527,0.38783938,0.4674984,0.44626904,0.4865473,0.44212794,0.46344262,0.4272725,0.39597115,0.3338104,0.43973118,0.41505855,0.49927974,0.50845724,0.42824048,0.2866184,0.4515744,0.40240347,0.39074168,0.4161156,0.42360866,0.5393869,0.26251322,0.4261216,0.35556805,0.40600848,0.23394574,0.39639455,0.43505156,0.39569938,0.5503966,0.49020338,0.49114007,0.3370376,0.36095876,0.2987073,0.29111347,0.43902075,0.4500469,0.33481735,0.279513,0.40587974,0.4490112,0.46533814,0.5991612,0.30789778,0.4501266,0.4770266,0.2622013,0.34552908,0.44851792,0.39743134,0.53463686,0.23509309,0.40620744,0.39186513,0.37337714,0.37736833,0.29781026,0.43510592,0.4235193,0.45915753,0.45415002,0.35911375,0.34990418,0.28932723,0.38819325,0.37333047,0.5755636,0.36706468,0.42041898,0.42049873,0.3868048,0.46828943,0.35126883,0.32564607,0.4635366,0.50580096,0.4840985,0.6139477,0.39986724,0.32734618,0.32028872,0.41597086,0.4105432,0.42609307,0.44658923,0.36039007
C3L-01154,0.5275991,0.45483404,0.31550497,0.42173117,0.29471016,0.4947909,0.44160885,0.44716448,0.4864667,0.4554451,0.30879468,0.48605567,0.46631366,0.5208019,0.46727258,0.38853538,0.42834914,0.4612369,0.4630683,0.44027585,0.53779763,0.49813497,0.42483664,0.5270211,0.34838986,0.4375351,0.45112067,0.54653585,0.37697405,0.39844155,0.4165047,0.4086061,0.43880922,0.34602818,0.34443536,0.37762183,0.38290167,0.309772,0.48933795,0.35589576,0.5457177,0.42682353,0.42519516,0.44071424,0.3090853,0.5323651,0.39959574,0.3288465,0.37510058,0.43815094,0.5070659,0.31572658,0.4205257,0.37044066,0.43763715,0.37594593,0.378252,0.44682056,0.4984669,0.43732762,0.56071305,0.53319913,0.4227295,0.3364736,0.35457158,0.4402104,0.3789884,0.34875894,0.44355515,0.40751696,0.53247446,0.43109858,0.37994075,0.47571713,0.34637642,0.40503818,0.39973766,0.4172067,0.40875217,0.35986793,0.3257053,0.43276048,0.3542568,0.3843779,0.40512055,0.43855074,0.3823704,0.40560648,0.44991484,0.28688174,0.4576795,0.46263635,0.41284513,0.5302756,0.44955698,0.41864282,0.4111569,0.42243072,0.48823896,0.38590536
C3L-01155,0.3180725,0.44870555,0.57745063,0.43126756,0.4952289,0.5093169,0.47111797,0.4246066,0.47833222,0.42758188,0.38954425,0.37490758,0.39741123,0.3575262,0.46748915,0.3417614,0.51874524,0.39089575,0.46501312,0.39071193,0.3515139,0.3546276,0.44410008,0.3580222,0.34045106,0.5527375,0.23113619,0.29125288,0.36063233,0.38995424,0.4120232,0.4626065,0.35954803,0.4603476,0.39201432,0.5584909,0.39489865,0.39132333,0.49013773,0.41471136,0.50364786,0.37131238,0.49477792,0.44558603,0.4040096,0.33982134,0.39895278,0.3687691,0.5063118,0.43111375,0.41638952,0.3597706,0.51446205,0.41946548,0.5046459,0.36016017,0.50677085,0.4719122,0.30407804,0.4481507,0.32053795,0.50709206,0.39237374,0.46722868,0.40307432,0.45183855,0.36505717,0.38681132,0.41093153,0.39531645,0.29917118,0.43046832,0.39968556,0.45676893,0.47566643,0.5048087,0.40723872,0.33147234,0.5036893,0.34577823,0.58043134,0.42792904,0.3885566,0.38953668,0.3995632,0.42781258,0.35418767,0.3647693,0.42433196,0.51721424,0.3283348,0.4824735,0.25857335,0.433756,0.32240862,0.40431997,0.43556628,0.44101965,0.33659226,0.34066245
C3L-01156,0.31048226,0.44754577,0.57428825,0.4199034,0.50186676,0.5253664,0.47029045,0.42355147,0.45868203,0.4323448,0.37849236,0.3928681,0.38787085,0.32978272,0.46738628,0.32207513,0.49541715,0.40145975,0.46439293,0.40222767,0.3600994,0.32166773,0.44135064,0.355923,0.42216352,0.56824267,0.275558,0.294811,0.37010667,0.3948431,0.38277072,0.43867266,0.38191926,0.49406332,0.3545192,0.5705172,0.3868688,0.3921525,0.5023707,0.42807972,0.4488493,0.36219168,0.5170331,0.44727418,0.4403209,0.32204455,0.4020272,0.38478512,0.48556274,0.43725783,0.41444468,0.3652489,0.49871516,0.4615019,0.48142815,0.40852076,0.5698042,0.4936965,0.3361262,0.45291787,0.30816194,0.48929924,0.42501885,0.44415873,0.44783008,0.45737463,0.37781146,0.41434312,0.39674962,0.39268148,0.29552266,0.4317785,0.37987965,0.45574313,0.46088177,0.49916178,0.39772305,0.44423774,0.48239166,0.33841425,0.5788845,0.4404236,0.44825947,0.3434669,0.38451904,0.39874586,0.35023883,0.3554948,0.43015578,0.5085657,0.3267472,0.5287751,0.25208908,0.37992615,0.31416306,0.42791724,0.40412164,0.49792585,0.3596977,0.36356205
C3L-01157,0.455881,0.44969213,0.32279283,0.4292795,0.31550133,0.5141747,0.4424386,0.39165932,0.45180744,0.4574508,0.28812587,0.4981521,0.40273932,0.4960283,0.46732414,0.3269072,0.46362045,0.41877642,0.46458977,0.42048234,0.40421435,0.45802143,0.41008192,0.5027462,0.34804228,0.50118935,0.4566059,0.55278957,0.33010572,0.39535832,0.3826676,0.39338332,0.4301144,0.34471375,0.47125897,0.5262114,0.37063506,0.30575848,0.48581234,0.36706597,0.52666324,0.3825316,0.32908827,0.42105183,0.3554113,0.5066595,0.39831296,0.38034374,0.48981097,0.43973,0.43068346,0.2917388,0.4833055,0.34004304,0.41227388,0.34910107,0.32164806,0.4990468,0.4122494,0.4633063,0.5330998,0.5656642,0.40735304,0.4368472,0.45302498,0.32977816,0.38854396,0.3334116,0.3992532,0.38756037,0.55670935,0.43281242,0.37947127,0.4561682,0.25066322,0.37567544,0.3926379,0.49192595,0.4610713,0.3465193,0.3494027,0.46717536,0.42768314,0.3767514,0.38227925,0.29485068,0.3465659,0.3513816,0.45180404,0.25677684,0.38180467,0.4403122,0.32909793,0.41550896,0.48108977,0.43622446,0.43157795,0.45996827,0.508781,0.3148246
C3L-01327,0.32602245,0.4469178,0.5828703,0.4178177,0.50875443,0.5135662,0.4982897,0.4310142,0.4153491,0.42588258,0.36072174,0.43375787,0.38705605,0.33242923,0.46726197,0.32887897,0.5113406,0.41966158,0.46474138,0.41992414,0.3465112,0.36681116,0.42790437,0.3353073,0.4188042,0.5610474,0.22905755,0.30413133,0.35050446,0.39628783,0.4005176,0.40780833,0.3842025,0.43595582,0.48717237,0.5619961,0.38990164,0.45078337,0.5066999,0.44153094,0.46053553,0.37569326,0.4007457,0.45873347,0.44321615,0.33324662,0.3980258,0.41601035,0.4945112,0.43623158,0.44373056,0.3517067,0.5376637,0.414374,0.4403477,0.37511307,0.54204375,0.49988973,0.2770166,0.4488246,0.3294615,0.4670853,0.40188605,0.53254145,0.40194538,0.46422768,0.371229,0.4119615,0.40360624,0.39882863,0.3034014,0.43105906,0.39066607,0.45651245,0.36327517,0.5053421,0.4381307,0.4271748,0.48955154,0.34683052,0.57764614,0.41102263,0.4583198,0.3579064,0.38106737,0.32208407,0.33936098,0.36042756,0.42636633,0.49753952,0.31084818,0.43502462,0.25541788,0.3092776,0.32299384,0.43401116,0.41998518,0.49623004,0.36174402,0.37961715
C3L-01834,0.5575397,0.45036477,0.31682193,0.43467885,0.23609743,0.2437262,0.46232826,0.417614,0.44630277,0.43337017,0.34020135,0.46789885,0.4770773,0.57964104,0.4671802,0.46873578,0.3989724,0.41729513,0.4654146,0.43560672,0.5073031,0.5272521,0.44169825,0.4868049,0.42780903,0.3017048,0.47339073,0.567845,0.34296218,0.39557087,0.4244922,0.4277891,0.43241554,0.3821683,0.4640922,0.32746828,0.39693856,0.28566197,0.32685906,0.43815172,0.36724198,0.40866393,0.38948548,0.4427616,0.3053933,0.5563802,0.40442437,0.30094135,0.30802187,0.4383939,0.44559592,0.28432548,0.3441977,0.35909447,0.441198,0.38687205,0.32119232,0.4269954,0.48391294,0.4469635,0.560222,0.5130976,0.4149305,0.34861803,0.4403948,0.23369795,0.37757245,0.34935912,0.42712834,0.40406963,0.59229463,0.42921558,0.35431257,0.46378535,0.25775215,0.27931848,0.39119732,0.50980675,0.34381595,0.4074723,0.3198712,0.44934717,0.36914742,0.4318099,0.3938474,0.3282555,0.36783266,0.35470647,0.45527413,0.25893348,0.4573431,0.34852648,0.5023073,0.5299417,0.60061777,0.43352464,0.4247325,0.41691795,0.524239,0.3422814
C3L-01887,0.35327566,0.4488874,0.5493865,0.4353822,0.33619156,0.51586545,0.4600818,0.4096862,0.49828148,0.4247024,0.42060232,0.38930887,0.43371528,0.39411697,0.46767724,0.3532352,0.502895,0.45073128,0.4644369,0.3953307,0.34970313,0.31916687,0.4681263,0.3874939,0.45416588,0.5478101,0.36217886,0.28321066,0.4074585,0.39006776,0.41477078,0.46786118,0.40711072,0.47414193,0.28149056,0.56937504,0.37917793,0.35870892,0.47425798,0.4559892,0.52589047,0.40643436,0.557178,0.42727527,0.48143375,0.33080587,0.3976469,0.3402937,0.45087314,0.43344647,0.39903244,0.35288018,0.3887781,0.46686023,0.52289206,0.41124022,0.56298804,0.39597225,0.3743845,0.45939994,0.28937054,0.3662693,0.4381256,0.38912266,0.4779846,0.4011374,0.39520124,0.37703383,0.4135211,0.3952763,0.30130377,0.43335417,0.4172864,0.46175885,0.48959357,0.5152559,0.39330587,0.32710606,0.51736695,0.35426435,0.5818491,0.39993668,0.40338144,0.37859187,0.41164577,0.47773793,0.36198342,0.34306973,0.43234456,0.51708496,0.4260143,0.52340585,0.30331287,0.40594882,0.33584553,0.41753805,0.42505252,0.43660718,0.3720549,0.33654538
