BTBD10
BCL2L15
CHL1
COX18
DUS2
EGFLAM
EIF3IP1
FAM188A
IL1RAP
KCNK13
KIAA0825
KRT8
LBH
LINC00847
PSMG3
RAC1
S100A11
SEC23B
ZNF155
ACSS1
AGAP9
ALPK1
AMICA1
APITD1
APITD1-CORT
APOBEC3C
ARHGAP31
BCOR
BET1
C14orf2
C14orf28
CAMK1D
CCDC120
CDV3
CENPU
CHI3L2
CLCN5
CLDN23
CLDN4
CLGN
CORT
CSF2RB
CUL1
CWC15
DDI2
DDX11
DRAM2
DUSP10
EIF3B
FYTTD1
FZD7
HARS2
HCG11
HES1
HEXB
HNRNPCL2
KIF1B
KIFC3
KPNA3
LINC00174
LINC00900
LINC00999
LINC01001
LMX1B
LRP2
MAPK13
MINK1
MMP7
MRPS11
MUL1
NCOA1
NDUFV2
NFATC1
NME1
NME1-NME2
NME2
NOP58
NRN1
NT5C3A
PANK3
PARS2
PGAP1
PHB2
PPM1F
PPP1R21
PRDM10
QPRT
RAPGEF2
RASA1
RBM8A
RGS1
RNASE1
RNF34
RSC1A1
SAYSD1
SFSWAP
SHISA5
SLC25A14
SLC35E3
SLC41A1
SLC9A6
SLIRP
SLIT2
SMG1P2
SNX7
STUB1
SUFU
TAMM41
TM2D3
TMEM120B
TMEM261
TPST2
TRAF3IP2
TSR2
TUSC3
VWA1
WWP2
ZBTB6
ZCCHC8
ZNF263
ZNF542P
ZNF69
ZNF74
ZNF830
A2M
AACS
ABI3
ACVR1
ADA
ADCY1
ADSL
AEN
AGAP1
AGPAT2
AKAP2
AKR1E2
ALOX15B
ANAPC7
AP3S2
APBA2
APEX1
APPL2
ARF6
ARHGAP20
ARHGEF10
ARHGEF19
ARL2BP
ARL4D
ARRB2
ARRDC2
ASF1B
ATE1
ATP11A
ATP2C1
ATP6AP1
ATP6V0E1
ATP6V1G1
ATP8B2
ATXN10
BBS5
BCKDHA
BCO2
BHLHE41
BIN1
BRIX1
BRPF1
BTG3
C12orf45
C15orf38
C15orf38-AP3S2
C17orf53
C19orf10
C19orf55
C19orf60
C1orf174
C1orf198
C3orf67
C5AR1
CACNB4
CAMSAP3
CAPN5
CAPRIN2
CASZ1
CC2D1B
CCDC171
CCDC71
CCDC71L
CCDC89
CCNB2
CD164
CD96
CDC5L
CDCA8
CDK19
CDK5RAP2
CDPF1
CELF2
CENPT
CEP120
CEP350
CEP78
CFHR3
CHAMP1
CHML
CHMP2B
CHMP7
CHRFAM7A
CHST3
CLEC2D
CLIC5
CLTA
CMYA5
CNEP1R1
COPS4
COX15
COX6C
CREBBP
CRIM1
CSNK1G3
CTGLF12P
CTSA
CWC22
CYS1
DAP
DCN
DCTN4
DCTPP1
DDR1
DDRGK1
DGCR11
DHFRL1
DHRS7B
DHX35
DNAH14
DNAJB5
DNAJC16
DNM3OS
DOCK7
DPY19L1
DYNLL1
EAF1
EEF1D
EFHC1
EIF2B1
EIF3J
ELOF1
EMR4P
EPG5
ERCC4
EVI5
EXOC6
EXOSC2
FAF1
FAM168B
FAM174B
FAM179B
FAM45A
FAM45B
FAM65A
FANCI
FASTKD2
FBL
FBLN1
FBRS
FBXO11
FBXW11
FCER1A
FIGF
FKBP14
FLJ44635
FLOT2
FNDC3A
FOXJ2
FRYL
FTH1P3
FUNDC2
FZD2
GAS8
GCH1
GGA1
GNPDA1
GORAB
GPATCH1
GPR37
GPR4
GPR89B
GPRC5C
GRAMD1C
GRASP
GRK5
GRWD1
GSK3A
GSK3B
GTPBP2
GUCA1B
H2AFX
HABP4
HDAC8
HEATR5B
HEATR6
HEYL
HHEX
HIBCH
HNRNPK
HOXA10
HOXA10-HOXA9
HOXA9
HSD11B1
HSD17B4
IFI44L
IFI6
IFT22
IGFBP5
ILKAP
IMMT
IMPA1
IMPDH2
ING5
IRF6
ITGA2
KATNA1
KCNJ2
KIAA0226L
KIAA0930
KIAA1841
KIAA2018
KIFAP3
KLC1
KLHL12
KLRC4
KLRC4-KLRK1
KLRK1
KRT80
LAMP5
LAT
LCK
LEKR1
LEO1
LGALS1
LIMCH1
LINC00926
LINS
LOC401010
LOC440311
LOC550643
LOC729603
LPAR2
LRP11
LRRC28
LRRC8C
LYPLAL1
LYVE1
MAL2
MAP3K4
MAP4K2
MARC1
MARVELD1
MBOAT1
MCF2L
MCOLN2
MED25
MED27
MED28
MED7
MERTK
METTL5
MIER3
MIR199A2
MIR214
MIR632
MIR6800
MIR7851
MLEC
MMP14
MMS22L
MOB1B
MOXD1
MPV17
MRAS
MRI1
MRPL48
MTHFD2L
MTMR1
MX1
MYO7A
NACC1
NAIP
NAMPT
NDFIP1
NDST1
NDUFA9
NDUFAF4
NDUFB6
NDUFS5
NEURL1B
NFE2L1
NLRC5
NPC1
NPTX2
NRDE2
NSFL1C
NSFP1
NSMCE1
NUP214
NUP62CL
OLFML3
OTUD1
OXSM
OXSR1
P2RX4
P2RY13
P4HA3
PALM2
PALM2-AKAP2
PARVB
PCBP1
PCK2
PCOLCE2
PDCD6IP
PDHB
PDLIM1
PGM2
PHF21A
PID1
PIK3R5
PIP5K1A
PIR
PIR-FIGF
PKP3
PLD1
PLEKHB2
PLEKHO2
PLIN5
PLXNC1
POLB
POP7
PPIA
PPIL1
PPP1R15A
PPP2R5B
PRAF2
PRDM1
PRDM2
PRKRA
PRKXP1
PRPSAP2
PRR12
PSMA2
PSMD8
PSMG1
PTCH1
PTGFRN
PTPN4
PTPRF
PYGB
RARS
RASL11A
RASSF5
RBM33
RBM41
RC3H1
RCSD1
RDH11
RMI2
RMND5B
RNF20
RNF216P1
RNF220
ROBO1
RPL31
RPL41
RPS19BP1
RPS3
RRAGA
RRN3P1
RRP1B
RTN4
RUNX2
S100B
S1PR2
SCARA3
SCUBE2
SDC1
SDHAP3
SEMA3F
SERGEF
SERPINB6
SERPINE2
SERPINI1
SERTAD3
SETBP1
SETDB2
SHFM1
SLC11A2
SLC16A9
SLC25A53
SLC2A8
SLC31A1
SLC35A4
SLFN11
SMAD3
SMC6
SMCR8
SMTN
SNRNP35
SNW1
SOCS2
SOCS4
SOCS6
SPARCL1
SPATA5
SPG21
SPOP
SPRED1
SRD5A1
SSBP1
STAG2
STK10
STRN
STX4
SUSD1
TBC1D22A
TBL1X
TBX15
TBX3
TCF25
TCF4
TFPI
TGIF1
THOC7
TJP2
TMEM134
TMEM158
TMEM17
TMEM170A
TMEM176A
TMEM248
TMEM255B
TMEM8A
TNFRSF12A
TPM3P9
TPM4
TRAF2
TRAP1
TRAPPC11
TRAPPC5
TRAPPC8
TRIM65
TRMT112
TSPAN7
TTC7B
TTLL1
TTYH3
TUBA1C
TWISTNB
TYSND1
UBE2J1
UBE2Q1
UBQLN4
UFC1
UNC93B1
USP16
USP54
USP7
VAMP7
VASP
VEZF1
VLDLR
WDR3
WDR74
WWC1
XRCC5
YTHDF1
ZC2HC1A
ZFAND1
ZFP1
ZFP62
ZFP90
ZMYND11
ZNF10
ZNF174
ZNF192P1
ZNF207
ZNF217
ZNF225
ZNF267
ZNF277
ZNF32
ZNF324
ZNF429
ZNF548
ZNF564
ZNF566
ZNF567
ZNF585B
ZNF667-AS1
ZNF677
ZNF717
ZNF761
ZNF774
ZRSR2
ZXDB
A4GALT
AAAS
AADAT
AASS
ABCA1
ABCC1
ABCD3
ABL1
ABL2
ABTB1
ACCS
ACKR2
ACLY
ACN9
ACOX2
ACSL1
ACTN4
ACTR3
ACTR5
ADAM15
ADAMDEC1
ADAT1
ADAT3
ADD1
ADI1
ADIRF
ADRB2
AFF2
AGAP11
AGPAT5
AGPAT9
AIFM1
AIMP1
AK7
AKAP1
AKAP11
AKAP12
AKR7A3
ALDH7A1
ALG10B
ALG3
ALG9
ALKBH5
ALS2CL
AMFR
AMOT
ANAPC16
ANAPC4
ANGEL2
ANKRD11
ANKRD20A9P
ANKRD29
ANKRD40
ANLN
ANO1
ANTXR1
ANTXR2
ANXA4
AP2B1
AP2S1
AP3S1
AP5B1
AP5Z1
APOBEC3D
APOD
APOOL
APRT
ARAP3
ARF3
ARFGAP2
ARFIP1
ARHGAP18
ARHGAP24
ARHGAP26
ARHGEF12
ARHGEF3
ARHGEF7
ARL4C
ARL8B
ARNTL2
ARSB
ARSD
ARSJ
ARTN
ASAH2B
ASB7
ASPH
ASPM
ASXL2
ATAD5
ATF1
ATG4A
ATL2
ATMIN
ATP10D
ATP13A1
ATP1B1
ATP2A3
ATP6V1E1
ATP6V1F
ATP8A1
ATP8B1
ATRX
ATXN1L
B3GALNT2
BANP
BAZ2A
BBS10
BBS12
BCKDHB
BCL6
BCL7A
BCL7B
BLMH
BLOC1S2
BMPR1A
BMS1P5
BNIP1
BOD1L2
BRD4
BRD7
BRD8
BRE
BRWD1
BRWD3
BSG
BST1
BTBD11
BTBD9
BTF3L4
BTG1
BTG2
C11orf30
C11orf73
C12orf29
C12orf66
C12orf79
C15orf52
C16orf58
C16orf95
C17orf51
