FGF4
GAS2L2
MMP28
C17orf50
TAF15
WDR35
MATN3
ACOXL
MLPH
PRLH
GTF3C6
snoU13|ENSG00000238775.1
RPF2
SLC16A10
CALCR
MIR653
GNGT1
MIR4652
MIR489
TFPI2
GNG11
BET1
TRPV6
ARID5B
RTKN2
RN7SL591P
ZNF365
ADO
EGR2
NRBF2
JMJD1C
PTEN
SNORD74|ENSG00000200891.1
CD5
AQP11
CLNS1A
SPRED1
C17orf112
KIF2B
snoZ178
USHBP1
BABAM1
ANKLE1
ABHD8
MRPL34
DDA1
FAM129C
ZNF585A
ZNF585B
ZNF383
LTBP4
RN7SL758P
SHKBP1
NUMBL
ZNF610
ZNF528
ZNF534
ZNF578
ZNF880
ZNF808
ZNF701
ZNF137P
RLF
UBE2Q1
CRB1
DENND1B
C1orf53
LHX9
NEK7
ATP6V1G3
TBCE
SMC6
CCDC138
PPIL3
NIF3L1
AGFG1
MIR5703
C2orf83
SLC19A3
RBM44
snoU13|ENSG00000238646.1
CMTM8
CMTM7
CMTM6
DYNC1LI1
CCDC36
SMIM4
UBA5
PMCHL1
RN7SL572P
PRDM9
C5orf17
SNORA40|ENSG00000252083.1
MIR4460
ADAMTS19
HMGXB3
ARSI
TCOF1
CD74
RPS14
NDST1
snoU13|ENSG00000239191.1
SYNPO
MYOZ3
TMEM14A
GSTA1
GSTA2
CLDN20
CPVL
CHN2
MAGI2
MIR1255B1
TMEM209
FABP5P3
NEFL
PRKDC
PPP1R42
COPS5
ERMP1
KIAA2026
MLANA
snoU13|ENSG00000238654.1
MIR4665
RANBP6
PSIP1
RN7SL98P
HIATL1
RNA5SP302
CDNF
SNORA36|ENSG00000200294.1
ANAPC16
DDIT4
DNAJB12
MICU1
MCU
MIR4676
OIT3
PLA2G12B
P4HA1
NUDT13
SNORA11|ENSG00000221164.1
WAPAL
CYB5R2
OVCH2
OR10AB1P
OR5P2
OR5P3
OR10A6
OR10A3
NLRP10
EIF3F
TUB
RIC3
APIP
EHF
NUP160
RNA5SP340
MIR3161
ZFP91
DDB1
PAK1
RNY4P6
PAFAH1B2
SIDT2
TAGLN
LINC00940
RN7SL69P
CD9
PLEKHG6
TNFRSF1A
ACSM4
LRP6
PKP2
LINC00571
RNA5SP26
RNY4P14
STARD9
CDAN1
SEPT12
SMIM22
ROGDI
PRM1
snoU13|ENSG00000238409.1
MIR548H2
TTC19
UBB
TRPV2
MPRIP
RHBDL3
C17orf75
ARL5C
G6PC
RNY4P2
SNORA40|ENSG00000212149.1
DTNA
MAPRE2
ZNF397
ZSCAN30
ZNF271
ZNF24
ZNF396
INO80C
GALNT1
MIR187
C18orf21
MIR3929
RN7SL310P
CCDC11
MBD1
RNA5SP459
MIR4529
SNORA73|ENSG00000201816.1
TXNL1
WDR7
U3|ENSG00000212539.1
CYP4F22
SLC7A9
RN7SKP22
CEP89
ZNF607
ZNF573
WDR87
SIPA1L3
RN7SL663P
DPF1
MRPS12
SLC6A16
MIR4324
ALDH16A1
FLT3LG
RPL13A
SNORD32A
SNORD33|ENSG00000199631.1
SNORD34
SNORD35A
MIR150
RPS11
SNORD35B
FCGRT
RCN3
NOSIP
PRRG2
PRR12
RRAS
SCAF1
BCL2L12
IRF3
MIR5088
PRMT1
ADM5
DDX27
ZNFX1
SNORD12B
SNORD12C
SNORD12
ZFAS1
KCNB1
PTGIS
B4GALT5
RN7SL197P
SLC9A8
SPATA2
JAM2
ATP5J
GABPA
APP
CYYR1
MTOR
ANGPTL7
FBXO2
FBXO44
FBXO6
MAD2L2
DRAXIN
AGTRAP
C1orf167
MTHFR
CLCN6
NPPA
NPPB
KIAA2013
PLOD1
MFN2
RN7SL649P
TNFRSF8
MIR4632
KAZN
C1orf195
TMEM51
FHAD1
EFHD2
CTRC
CELA2A
CELA2B
ACTL8
IGSF21
CAMK2N1
HMGCL
BAI2
DLGAP3
SNORD112|ENSG00000252728.1
ZMYM6NB
ZMYM6
ZMYM1
AGO3
ADPRHL2
TEKT2
COL8A2
GRIK3
MIR4255
RNA5SP43
ZC3H12A
C1orf109
CDCA8
EPHA10
snoU13|ENSG00000238871.1
MANEAL
C1orf122
YRDC
MTF1
INPP5B
SNORA63|ENSG00000252448.1
LEPRE1
C1orf50
CDKN2C
MIR4421
OSBPL9
SNORA26|ENSG00000212624.1
C8A
C8B
DAB1
OMA1
RN7SL713P
TACSTD2
MIER1
AK5
ZZZ3
RNA5SP20
RN7SL370P
