HNRNPUL1
FES
KIAA0100
ZNF574
DHRS7
GSPT2
HCLS1
IRAK1
MLF2
MRPS18A
PPP3R1
RABGGTA
SEMA4D
STEAP3
STK17B
STMN1
SUCLG1
ZMYND11
APOH
APOL1
BASP1
BPHL
BRWD1
BSDC1
C14orf169
CASP9
CCDC58
CCDC92
CCL18
CDAN1
CHTOP
CIRBP
COG3
DCTN5
DKC1
DMD
DPH2
ELANE
EMG1
EPM2AIP1
FIP1L1
FLNB
FTL
GCFC2
GMPR2
HAPLN3
HDAC4
HSPA12A
HSPE1-MOB4
HTRA2
IFT80
IGBP1
IRF2
IRF8
ISOC2
KIAA1462
KIN
KNOP1
MARC2
MBP
MED17
METTL7A
MME
MMGT1
NBEA
NOS3
NUP107
PFDN2
PHLDB1
PNP
POLR2I
POLR3GL
PSMB4
QTRT2
RAD23B
RASSF2
RBL2
RBM28
RNASE4
RNF219
S100A12
SAP30
SEPT10
SF3B3
SH3GL1
SIL1
SLC12A7
SMAD4
SSU72
STK10
STRAP
STX16
TARBP1
TNFAIP6
TRPC1
TWF1
UBE2D3
USP40
WDR37
XPO1
YIF1A
ZNFX1
AAK1
AAR2
ABCB7
ABL1
ACADSB
ACOX1
ADAM9
AFTPH
AGO3
AGRN
AIF1
AKTIP
ALDH16A1
ALDH1A3
ALDH9A1
ALKBH4
AMBP
AMOTL1
AMPD2
ANOS1
ANXA11
ANXA7
APCS
APOC2
ARAP1
ARF6
ARHGAP10
ARL2
ASAP1
ASAP3
ASUN
ATP13A1
ATP7A
ATXN1L
AVEN
BCAR1
BCKDHA
BCL2L13
BCL2L2-PABPN1
BRPF1
BTF3
C10orf76
C18orf8
C1orf116
C8A
CAD
CAMK2D
CAND1
CAP1
CAPNS1
CAPZA2
CARD11
CASP6
CBFA2T2
CCDC120
CCNA2
CCP110
CDC20
CDCP1
CDK13
CDK20
CDKN1B
CELF1
CENPB
CEP112
CES1
CFB
CHAF1B
CHCHD7
CKM
CKMT1B
CLASRP
CLIP2
CLMN
CNN2
CPB2
CRTC2
CSAD
CSNK2A1
CSTB
CTGF
CTSF
CTSG
CTSH
CWC15
D2HGDH
DAB2
DARS
DCP2
DCTN2
DDX11
DDX6
DENND1C
DLGAP5
DNMT1
DNPH1
DPM1
DPY19L1
DUT
DYRK1A
DYSF
EDC4
EFNA1
EIF3I
EIF4EBP3
EML3
EML6
ENAH
ENTPD1
EPHB4
EPHX1
EPS15L1
EPS8L2
ERGIC3
ESRP1
EXOC3L4
EXOC6B
EXOSC8
FAM102A
FAM122A
FAM134C
FAM213B
FBXL8
FBXO38
FBXO7
FCHO2
FDFT1
FEN1
FGFR1OP
FGGY
FHL1
FHL2
FHL3
FLII
FNBP1
FOLR2
FOXO3
FRYL
FYTTD1
FZD6
GATAD2B
GCHFR
GCLC
GCLM
GGA1
GGH
GGT1
GIPC1
GLRX3
GMDS
GNAQ
GNB1
GNB1L
GNL3
GNL3L
GOLGA3
GPALPP1
GPBP1L1
GPD1L
GSTK1
GTF2F2
GTF2H5
H1FX
HAUS3
HDGFRP3
HDHD2
HID1
HLA-DQB1
HMGN1
HNRNPDL
HPX
HSPA5
HSPB6
ICAM2
IFI44
IFT57
IKBKE
IMP4
INPP5B
IQGAP3
IRF2BP2
IRF9
ISCA2
ITGB4
IVNS1ABP
JADE2
JMJD1C
KANK3
KAT6A
KBTBD11
KCTD10
KIAA0930
KIAA1429
KIAA1671
KIF1B
KMT2A
KRIT1
KXD1
LACE1
LARP4B
LIMCH1
LRCH4
LRPPRC
LRRC20
LRSAM1
LSM14A
LSM14B
LSM8
LYRM4
LYSMD1
MAFG
MALT1
MAOB
MAPK14
MED11
MED15
MFF
MINA
MPDU1
MRPS14
MSI2
MSRB2
MTF1
MTMR10
MTMR14
MVK
MYO10
MYO5A
NAA25
NAA40
NAA50
NAMPT
NAP1L4
NAPA
NAPG
NCAPD3
NCAPG
NDUFA8
NDUFV3
NEDD9
NEK6
NELFE
NFIX
NFYC
NIF3L1
NOL8
NOTCH2
NPC1
NUDT12
NUDT16
NUP155
NUP210
OFD1
ORC2
ORC3
ORC5
ORM1
ORM2
OSBPL6
OTUB1
OXSR1
PAK2
PDE12
PDPR
PGLS
PGRMC2
PIK3AP1
PLCG2
PLEKHM2
PLS3
PLXNA3
PLXNB1
PMPCB
PNPT1
PODXL
POLDIP2
POLR2E
POLR3E
PPIG
PPIL3
PPM1B
PPP2R1B
PPP3CC
PRKCI
PRPF31
PSAP
PSMB2
PSMD13
PSMD7
PTBP2
PTPN14
PUS7
PUS7L
PYCR2
PYM1
R3HDM1
RAB10
RAB25
RAD23A
RARS
RBM14
RBMXL1
RETN
RHOT1
RNF115
RNF166
RPL22
RPP38
RPS16
RPS27L
RUFY1
RUNDC1
SAMD4A
SAMD9L
SCML2
SDCCAG8
SEC16A
SEC22B
SEPT6
SGK223
SHMT2
SHOC2
SHPK
SIRT6
SLC25A25
SMARCD2
SMC1A
SNCA
SOD1
SORD
SPATA18
SPG20
SPTLC1
SSR3
ST3GAL1
STAMBP
STOML2
STX6
SURF4
TADA1
TAF6
TBC1D24
TBCA
TCEB2
TDP1
TDRD7
TEX2
THADA
THG1L
TLE3
TLK2
TM9SF4
TMED9
TNK2
TNRC6A
TNRC6B
TOE1
TP53
TPM1
TPM4
TRIP11
TRMT10C
TRMU
TTC3
TUBA8
TUBB1
TXNDC9
UBA7
UGP2
UNK
UROD
USP3
USP54
UTP18
VASP
VPS26A
VPS36
VRK1
WDR19
XRCC1
YAP1
ZBTB10
ZBTB21
ZC3H18
ZC3HAV1L
ZCCHC8
ZFYVE16
ZHX3
ZNF316
ZNF326
ZNF407
ZNF428
ZNF460
ZNF598
ZNF644
ZNF768
A2M
AACS
AAMP
AARS2
ABCC1
ABCD1
ABT1
ACAA2
ACACA
ACADS
ACOX3
ACSF3
ACTBL2
ACTL6A
ACTN1
ACTR3
ACYP1
ADAMTSL2
ADAP2
ADD1
ADNP
ADPGK
ADRM1
AGPAT5
AHSG
AK1
AK2
AK4
AKAP13
AKT2
ALCAM
ALDH1B1
ALDH1L2
ALDH4A1
ALDOA
ALDOC
ALG9
AMFR
ANKHD1-EIF4EBP3
ANKRD13A
ANTXR1
AP2A2
APEH
APOB
APOM
APRT
ARFGAP3
ARFGEF3
ARHGAP15
ARHGAP31
ARHGEF10L
ARHGEF28
ARL1
ARMC10
ARMC8
ARMC9
ARPC4
ARSD
ARVCF
ASF1B
ATG3
ATG9A
ATP2C1
ATP5H
ATP5J2-PTCD1
ATP5O
ATP6V0D1
ATP6V1C1
ATP6V1D
AUTS2
AVL9
AZIN2
B3GLCT
B4GALT4
BAD
BAG5
BANP
BARD1
BCAP31
BCCIP
BCL7A
BCL7C
BCS1L
BID
BIN3
BLOC1S5
BLZF1
BMS1
BOD1
BPTF
BRD8
BRMS1L
C14orf119
C15orf52
C15orf57
C17orf49
C19orf43
C1QBP
C2
C21orf33
C2CD5
C2orf69
C5orf22
C7orf55-LUC7L2
CACNA2D1
CACTIN
CALML3
CALR
CALU
CAMK1D
CAMK4
CAMSAP3
CAPN13
CAPS
CARMIL1
CARTPT
CASP7
CAST
CBL
CBLL1
CBX5
CCAR2
CCDC12
CCDC124
CCDC134
CCDC88C
CCDC90B
CCDC94
CCT4
CCT8
CD36
CD4
CD47
CD5L
CD63
CDC42EP2
CDC42EP4
CDH1
CDH5
CDK1
CDK14
CDK2AP1
CDK4
CDK5RAP1
CDKN2AIP
CDR2L
CDV3
CELSR1
CENPV
CEP192
