epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100
TNRC18P1,CLIC6_x,CLIC6_x,TNRC18P1,NKAIN1_x,FBXO10_x,FBXO10_x,ERP27_x,MTHFD1L_x,MTHFD1L_x
PEG10_x,PRIM1_x,PEG10_x,NKAIN1_x,TNRC18P1,TNRC18P1,ERP27_x,FBXO10_x,FBXO10_x,FBXO10_x
LINC00174_x,NKAIN1_x,PRIM1_x,PEG10_x,GS1-259H13.2,ERP27_x,TNRC18P1,TNRC18P1,TNRC18P1,KIAA1024_x
FBXO10_x,GS1-259H13.2,NKAIN1_x,GS1-259H13.2,PEG10_x,GS1-259H13.2,MICALCL_x,PRIM1_x,KIAA1024_x,PRIM1_x
APOD_x,S100A9_x,GS1-259H13.2,PRIM1_x,PRIM1_x,PRIM1_x,GS1-259H13.2,GS1-259H13.2,GS1-259H13.2,TNRC18P1
GS1-259H13.2,CLDN15_x,KIAA1024_x,KIAA1024_x,MICALCL_x,MICALCL_x,PRIM1_x,KIAA1024_x,PRIM1_x,GS1-259H13.2
ALDH3B2_x,KIAA1024_x,S100A9_x,ERP27_x,S100A9_x,S100A9_x,PEG10_x,MICALCL_x,MICALCL_x,S100A9_x
PROM1_x,PROM1_x,CLDN15_x,S100A9_x,ERP27_x,PEG10_x,KIAA1024_x,S100A9_x,S100A9_x,MICALCL_x
C1orf106_x,LINC00174_x,ERP27_x,MICALCL_x,KIAA1024_x,KIAA1024_x,S100A9_x,PEG10_x,PEG10_x,PEG10_x
ADCY1_x,ALDH3B2_x,ZNF660_x,ADCY1_x,CXCL13_x,CXCL13_x,CXCL13_x,NHSL2_x,NHSL2_x,NHSL2_x
NHSL2_x,C1orf106_x,ADCY1_x,CLDN15_x,ADCY1_x,C1orf106_x,C1orf106_x,CXCL13_x,CXCL13_x,CLDN15_x
CLDN15_x,ERP27_x,C1orf106_x,ZNF660_x,C1orf106_x,ADCY1_x,ADCY1_x,ZNF660_x,CLDN15_x,CXCL13_x
ERP27_x,NHSL2_x,MICALCL_x,C1orf106_x,ZNF660_x,ZNF660_x,ZNF660_x,C1orf106_x,ADCY1_x,ADCY1_x
KIAA1024_x,ADCY1_x,ALDH3B2_x,CXCL13_x,CLDN15_x,CLDN15_x,NHSL2_x,CLDN15_x,C1orf106_x,C1orf106_x
CXCL13_x,CXCL13_x,CXCL13_x,NHSL2_x,NHSL2_x,NHSL2_x,CLDN15_x,ADCY1_x,ZNF660_x,LINC00174_x
RBM20_x,ZNF660_x,NHSL2_x,ALDH3B2_x,MLPH_x,ALDH3B2_x,MLPH_x,MLPH_x,ALDH3B2_x,ALDH3B2_x
CR1_x,MICALCL_x,LINC00174_x,LINC00174_x,ALDH3B2_x,MLPH_x,ALDH3B2_x,ALDH3B2_x,NCR3LG1_x,ZNF660_x
MICALCL_x,C1orf95_x,C1orf95_x,NAT1_x,NAT1_x,NCR3LG1_x,NCR3LG1_x,LINC00174_x,LINC00174_x,MLPH_x
NCR3LG1_x,NCR3LG1_x,NCR3LG1_x,MLPH_x,NCR3LG1_x,AFF3_x,LINC00174_x,NCR3LG1_x,MLPH_x,CR1_x
NAT1_x,RBM20_x,NAT1_x,NCR3LG1_x,AFF3_x,NAT1_x,NAT1_x,SLPI_x,SLPI_x,NCR3LG1_x
C1orf95_x,NAT1_x,SYT1_x,AFF3_x,LINC00174_x,LINC00174_x,AFF3_x,NAT1_x,NAT1_x,SYT1_x
SYT1_x,SYT1_x,MLPH_x,C1orf95_x,SYT1_x,SYT1_x,SLPI_x,AFF3_x,SYT1_x,SLPI_x
ZNF660_x,MLPH_x,RBM20_x,SYT1_x,C1orf95_x,SLPI_x,SYT1_x,CR1_x,CR1_x,NAT1_x
MLPH_x,CR1_x,AFF3_x,RBM20_x,RBM20_x,RBM20_x,CR1_x,SYT1_x,AFF3_x,S100P_x
S100P_x,HGD_x,CIDEC_x,CIDEC_x,CIDEC_x,CIDEC_x,RBM20_x,CIDEC_x,S100P_x,CIDEC_x
HGD_x,S100P_x,HGD_x,S100P_x,SLPI_x,C1orf95_x,CIDEC_x,RBM20_x,RBM20_x,NPIPB9_x
AFF3_x,NPIPB9_x,S100P_x,CR1_x,CR1_x,CR1_x,C1orf95_x,S100P_x,CIDEC_x,RBM20_x
CIDEC_x,DACH1_x,CR1_x,DACH1_x,DACH1_x,S100P_x,S100P_x,NPIPB9_x,NPIPB9_x,AFF3_x
NPIPB9_x,AFF3_x,DACH1_x,HGD_x,S100P_x,DACH1_x,HGD_x,DACH1_x,DACH1_x,HGD_x
DACH1_x,CIDEC_x,NPIPB9_x,NPIPB9_x,HGD_x,HGD_x,DACH1_x,C1orf95_x,HGD_x,DACH1_x
HBB_x,SLPI_x,SLPI_x,SLPI_x,NPIPB9_x,NPIPB9_x,NPIPB9_x,HGD_x,C1orf95_x,C1orf95_x
SLPI_x,HBB_x,HBB_x,HBB_x,HBB_x,ADAMTS15_x,ADAMTS15_x,ADAMTS15_x,ADAMTS15_x,ADAMTS15_x
CCR6_x,AQPEP_x,AQPEP_x,AQPEP_x,ADAMTS15_x,HBB_x,HBB_x,HBB_x,AQPEP_x,TCP10L_x
CCDC144A_x,TCP10L_x,CCR6_x,ADAMTS15_x,AQPEP_x,NOVA1_x,NOVA1_x,NOVA1_x,NOVA1_x,AQPEP_x
TCP10L_x,CCR6_x,TCP10L_x,LRG1_x,LRG1_x,LRG1_x,AQPEP_x,TCP10L_x,TCP10L_x,CECR2_x
FBXO46_x,ADAM32_x,ACRC,CCR6_x,NOVA1_x,AQPEP_x,TRIM29_x,AQPEP_x,HBB_x,NOVA1_x
MAGED4,BTN2A3P_x,LRG1_x,TRIM29_x,TRIM29_x,TRIM29_x,TCP10L_x,LRG1_x,LRG1_x,STC2_x
STC2_x,TRIM29_x,TRIM29_x,TCP10L_x,TCP10L_x,TCP10L_x,LRG1_x,TRIM29_x,CECR2_x,LRG1_x
ADAM32_x,LRG1_x,ADAMTS15_x,NOVA1_x,CCR6_x,CCDC144A_x,UBD_x,UBD_x,UBD_x,CCDC144A_x
TRIM29_x,STC2_x,ADAM32_x,CCDC144A_x,CCDC144A_x,CCR6_x,CCR6_x,CECR2_x,STC2_x,HBB_x
UBD_x,CCDC144A_x,STC2_x,STC2_x,UBD_x,UBD_x,STC2_x,CCR6_x,CCDC144A_x,FAR2P2
AQPEP_x,ACRC,CCDC144A_x,ADAM32_x,STC2_x,STC2_x,CECR2_x,STC2_x,TRIM29_x,CCL18_x
CECR2_x,UBD_x,FCRL6_x,UBD_x,FAR2P2,FAR2P2,CCDC144A_x,CCDC144A_x,CCR6_x,UBD_x
FAR2P2,FCRL6_x,UBD_x,ACRC,ADAM32_x,CECR2_x,FAR2P2,FAR2P2,FAR2P2,CCR6_x
ACRC,ADAMTS15_x,NOVA1_x,FAR2P2,CECR2_x,ADAM32_x,CCL18_x,CCL18_x,CCL18_x,TRIM29_x
LRG1_x,CCL18_x,BTN2A3P_x,CECR2_x,CCL18_x,CCL18_x,ADAM32_x,ADAM32_x,ADAM32_x,SHISA2_x
ADAMTS15_x,MAGED4,FAR2P2,FCRL6_x,ACRC,KCNE4_x,KCNE4_x,CES3_x,SHISA2_x,ADAM32_x
FCRL6_x,FAR2P2,CECR2_x,CCL18_x,KCNE4_x,KRT23_x,CES3_x,SERPINA3_x,CES3_x,FGF12_x
CCL18_x,CECR2_x,CCL18_x,KRT23_x,FCRL6_x,ACRC,TAOK2_x,KCNE4_x,FGF12_x,CES3_x
NOVA1_x,KRT23_x,KRT23_x,KCNE4_x,KRT23_x,FCRL6_x,AKR1C1_x,TAOK2_x,AKR1C1_x,FCRL6_x
KRT23_x,NOVA1_x,MAGED4,MAGED4,HAUS6_x,CES3_x,SHISA2_x,AKR1C1_x,KCNE4_x,ACRC
