Sample,predict_label
CPT000814,0
CPT001846,0
X01BR001,0
X01BR008,0
X01BR009,0
X01BR010,1
X01BR015,2
X01BR017,1
X01BR018,0
X01BR020,0
X01BR023,3
X01BR025,3
X01BR026,4
X01BR027,0
X01BR030,3
X01BR031,0
X01BR032,3
X01BR033,2
X01BR040,0
X01BR042,0
X01BR043,0
X03BR002,2
X03BR004,2
X03BR005,2
X03BR006,0
X03BR010,3
X03BR011,2
X03BR013,2
X05BR001,1
X05BR003,2
X05BR004,2
X05BR005,2
X05BR009,2
X05BR016,3
X05BR026,2
