epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100
CARTPT_x,CARTPT_x,CARTPT_x,CARTPT_x,CARTPT_x,CARTPT_x,CARTPT_x,CARTPT_x,CARTPT_x,CARTPT_x
FABP7_x,FABP7_x,FABP7_x,FABP7_x,FABP7_x,FABP7_x,FABP7_x,FABP7_x,FABP7_x,FABP7_x
LALBA_x,LALBA_x,LALBA_x,LALBA_x,LALBA_x,LALBA_x,LALBA_x,LALBA_x,LALBA_x,LALBA_x
CHGB_x,S100A7_x,S100A7_x,S100A7_x,S100A7_x,S100A7_x,S100A7_x,S100A7_x,S100A7_x,S100A7_x
S100A7_x,CHGB_x,CHGB_x,CHGB_x,CHGB_x,CHGB_x,CHGB_x,MUC2_x,MUC2_x,GSTM1_y
PVALB_x,MUC2_x,MUC2_x,MUC2_x,MUC2_x,MUC2_x,MUC2_x,CHGB_x,GSTM1_y,MUC2_x
MUC2_x,PVALB_x,PVALB_x,PVALB_x,GSTM1_y,GSTM1_y,GSTM1_y,GSTM1_y,CHGB_x,CHGB_x
GSTM1_y,GSTM1_y,GSTM1_y,GSTM1_y,PVALB_x,PVALB_x,PVALB_x,PVALB_x,PVALB_x,PVALB_x
MUCL1_x,SCGB1D2_x,SCGB1D2_x,SCGB1D2_x,SCGB1D2_x,SCGB1D2_x,SCGB1D2_x,SCGB1D2_x,SCGB1D2_x,SCGB1D2_x
SCGB1D2_x,MUCL1_x,MUCL1_x,MUCL1_x,MUCL1_x,MUCL1_x,MUCL1_x,MUCL1_x,KRT6A_x,MUCL1_x
DHRS2_x,KRT6A_x,CPB1_x,CPB1_x,CPB1_x,CPB1_x,KRT6A_x,KRT6A_x,MUCL1_x,KRT6A_x
KRT6A_x,CPB1_x,KRT6A_x,KRT6A_x,KRT6A_x,KRT6A_x,CPB1_x,CPB1_x,CPB1_x,CPB1_x
CPB1_x,DHRS2_x,DHRS2_x,DHRS2_x,DHRS2_x,DHRS2_x,DHRS2_x,DHRS2_x,DHRS2_x,DHRS2_x
S100A1_x,S100A1_x,S100A1_x,CRABP1_x,CRABP1_x,CRABP1_x,S100A1_x,S100A1_x,S100A1_x,CLIC6_y
CRABP1_x,CRABP1_x,CRABP1_x,S100A1_x,S100A1_x,S100A1_x,CRABP1_x,CRABP1_x,CLIC6_y,KRT15_x
KRT15_x,KRT15_x,KRT15_x,KRT15_x,OMD_y,OMD_y,OMD_y,CLIC6_y,KRT15_x,S100A1_x
MUC5B_x,MUC5B_x,MUC5B_x,OMD_y,KRT15_x,KRT15_x,KRT15_x,KRT15_x,CRABP1_x,CRABP1_x
CYP2A6_x,HLA-DRB5_y,OMD_y,MUC5B_x,MUC5B_x,MUC5B_x,CLIC6_y,OMD_y,OMD_y,OMD_y
PCSK1_x,PCSK1_x,S100P_y,S100P_y,CLEC3A_x,CLEC3A_x,MUC5B_x,MUC5B_x,MUC5B_x,MUC5B_x
