Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
X01BR023,0.2887813,0.5239244,0.31788057,0.20563157,0.7194838,0.4602695,0.589457,0.65632457,0.37790465,0.53655106,0.70679927,0.80944276,0.66009474,0.76693237,0.3421229,0.29698074,0.70918226,0.21005061,0.3210187,0.6569654,0.6065417,0.242964,0.31605327,0.26415402,0.66966206,0.55105394,0.5531999,0.5255005,0.7327496,0.5500279,0.29524016,0.7420174,0.6173064,0.29403615,0.6598671,0.2475207,0.2829416,0.4315179,0.27471244,0.4894036,0.80393356,0.58964634,0.21656069,0.70118225,0.31945074,0.27528197,0.37698248,0.37696397,0.32044536,0.4997057,0.29944253,0.78275263,0.36069342,0.7511968,0.7735034,0.4119203,0.26921266,0.39382967,0.7738146,0.40779114,0.8055362,0.76598847,0.32675466,0.61238706,0.34962735,0.5446434,0.7587218,0.2149519,0.4570198,0.21241702,0.37349966,0.2100035,0.25571877,0.4312253,0.5683075,0.41801968,0.35993215,0.3654704,0.33911982,0.368239,0.7956849,0.5369588,0.41604564,0.74193764,0.2856436,0.7685869,0.5102021,0.17766073,0.6576841,0.69829583,0.3847893,0.7679423,0.49619246,0.58746475,0.40222526,0.3696076,0.31193632,0.59971774,0.3998189,0.25752544
X01BR025,0.33495343,0.47903544,0.4031553,0.26623824,0.69316494,0.5369235,0.5532707,0.7066989,0.58825934,0.3670467,0.6735277,0.7270336,0.38307622,0.6552304,0.36089414,0.4001056,0.68571234,0.42375964,0.3560435,0.5088248,0.56045854,0.3144604,0.58247495,0.57503724,0.7316854,0.40514106,0.6049975,0.4779743,0.60245967,0.74862766,0.2993866,0.47886747,0.5552763,0.3913483,0.4524898,0.30114183,0.39442265,0.5772805,0.34375572,0.3440988,0.6558329,0.56648284,0.26239043,0.5265015,0.253259,0.44231415,0.34345192,0.34816295,0.2761135,0.49423227,0.4912395,0.67754495,0.34699824,0.7285488,0.7065572,0.54516846,0.3779131,0.39387417,0.71005034,0.45122537,0.7286397,0.6598522,0.5438673,0.3180413,0.5206145,0.38752753,0.67782503,0.27014828,0.4196352,0.29728568,0.5309099,0.26526836,0.3020057,0.50679547,0.6064711,0.37531346,0.41576034,0.3431086,0.53730744,0.31648287,0.64297813,0.5238826,0.41683388,0.66735363,0.33248368,0.5998771,0.46086684,0.2792217,0.7382524,0.6349749,0.42677373,0.65880775,0.52635413,0.5812397,0.6220668,0.3625767,0.46848094,0.66414183,0.41321686,0.39054886
X01BR026,0.7418341,0.5177773,0.6326471,0.7586482,0.2583206,0.42316678,0.48108983,0.26931873,0.5582497,0.5105803,0.27847722,0.3042847,0.31721738,0.26508045,0.5420516,0.43925726,0.35845688,0.65968096,0.50934386,0.60459536,0.52775073,0.6786097,0.35872468,0.6667152,0.287863,0.30387545,0.3412428,0.53738385,0.34286416,0.21621913,0.7441006,0.66627103,0.54460967,0.54960316,0.5320974,0.75514996,0.7308765,0.3959264,0.6209382,0.69357526,0.61814463,0.22985539,0.46623147,0.47216785,0.7785799,0.6125538,0.64415336,0.4615053,0.7272758,0.71957386,0.29790086,0.25856853,0.6480075,0.27004528,0.21992843,0.2628047,0.5965337,0.74369895,0.315198,0.5458694,0.2399412,0.28337848,0.60507554,0.7476721,0.55658615,0.72079086,0.3107583,0.68891585,0.506299,0.7610508,0.5670599,0.6583349,0.80108756,0.43038362,0.34398118,0.7265389,0.68591905,0.32068104,0.65128326,0.5782839,0.40633476,0.64634144,0.286516,0.3086489,0.70223343,0.367029,0.6832652,0.69800407,0.58223605,0.23324445,0.58566517,0.27880216,0.51098406,0.36358654,0.33638892,0.6657985,0.7110659,0.39248562,0.4818204,0.64681166
X01BR027,0.69934624,0.6982916,0.29408884,0.28056324,0.3704997,0.23477867,0.7786365,0.26507545,0.63060355,0.24805672,0.5717675,0.73417246,0.45739567,0.41622415,0.22854581,0.31462944,0.40913618,0.54376495,0.77457184,0.7794463,0.71278507,0.52681005,0.23449738,0.613087,0.38430262,0.3674094,0.26662105,0.23732585,0.42588538,0.51892143,0.68375677,0.5112562,0.28623915,0.4142695,0.35444558,0.6777824,0.46954405,0.2572983,0.6606005,0.649545,0.62757665,0.3093307,0.33807915,0.35228682,0.6266717,0.3180893,0.40948695,0.57407045,0.3766148,0.70921177,0.3658922,0.45409915,0.24351875,0.6781244,0.3486664,0.27411804,0.26815093,0.23597601,0.38302973,0.6039909,0.44177485,0.72519803,0.52957535,0.5354045,0.7095278,0.70283335,0.41829062,0.58290493,0.46740276,0.6182208,0.66503006,0.6687772,0.6269051,0.7690772,0.7042223,0.7136154,0.7078037,0.4478991,0.69948345,0.61672896,0.46288973,0.7665088,0.3177272,0.5242404,0.3239898,0.5724858,0.37015358,0.55659056,0.6835005,0.5986353,0.45925385,0.27732337,0.6847718,0.31815347,0.26347876,0.6948421,0.6240908,0.29496354,0.3941105,0.25330657
X01BR030,0.5471456,0.3855882,0.6957214,0.51039314,0.4955896,0.64777344,0.41136497,0.5462861,0.38257855,0.6337563,0.34082296,0.52888054,0.723233,0.49271345,0.4998097,0.42066234,0.40577635,0.21591493,0.3200941,0.4745753,0.5860102,0.65111744,0.4652213,0.31385508,0.4700544,0.47049358,0.6244993,0.72238576,0.5291618,0.33247566,0.21084234,0.7404815,0.6804815,0.46849427,0.6962419,0.49771494,0.29980043,0.76010644,0.29984558,0.4945482,0.7852152,0.39373392,0.60041785,0.6336272,0.42235708,0.53440523,0.41749808,0.59637916,0.46270156,0.47819746,0.25984824,0.6960638,0.66680074,0.5836969,0.6145824,0.69972193,0.43881714,0.6745137,0.67127687,0.36100626,0.60859776,0.46671697,0.5091648,0.71787924,0.2808523,0.35590515,0.69310474,0.47933877,0.42429912,0.3368992,0.48162192,0.2921227,0.33330372,0.30604118,0.63440096,0.2724313,0.42482597,0.5091865,0.4157446,0.39453724,0.61235994,0.3456707,0.36481085,0.7470302,0.37977317,0.7267143,0.41235867,0.37245214,0.48588642,0.46756148,0.76422966,0.6564867,0.39074185,0.40589464,0.6655286,0.27122134,0.44637805,0.40799594,0.6323947,0.51949716
X01BR031,0.67780614,0.5213906,0.36116263,0.4946514,0.28755495,0.28587508,0.6133112,0.23277578,0.5984005,0.28135777,0.43462363,0.48874128,0.2880986,0.2887143,0.3174047,0.36539567,0.40397286,0.71151435,0.6933309,0.66829836,0.5982841,0.5146974,0.36097518,0.6226393,0.3636855,0.32784972,0.2830738,0.33662537,0.35854542,0.39978045,0.6920548,0.417058,0.3694068,0.36793453,0.4302835,0.66916275,0.6377644,0.24361125,0.6829304,0.67320555,0.3714754,0.25501084,0.35046414,0.34929487,0.6888663,0.33774987,0.58106434,0.48834294,0.5211911,0.56618994,0.5095663,0.23608644,0.31620815,0.39458975,0.2644711,0.24503995,0.36566272,0.37678227,0.2921257,0.51242054,0.29574925,0.4958141,0.59679854,0.45427132,0.7372797,0.6625178,0.35362813,0.58267576,0.44386792,0.6731982,0.6748495,0.7153912,0.72049975,0.5572771,0.5788499,0.72848105,0.62929434,0.3219444,0.69841325,0.52560884,0.3256541,0.70351404,0.3447514,0.2593808,0.52771175,0.28798681,0.40770233,0.6895987,0.6789418,0.32912442,0.3476362,0.30483747,0.6003963,0.2880055,0.2953515,0.7005223,0.71722084,0.41914853,0.37587643,0.37618813
X01BR032,0.25051177,0.6145901,0.2651306,0.28930175,0.7271859,0.27357268,0.51166964,0.5889515,0.30273092,0.33372927,0.7511894,0.7163134,0.6044999,0.65464514,0.3796246,0.4420823,0.6877265,0.5423151,0.5082586,0.486613,0.5127802,0.21471342,0.48859203,0.38835347,0.6999255,0.70137423,0.4851,0.49458492,0.71305734,0.43570018,0.5466971,0.38273135,0.35475585,0.42710048,0.5889691,0.19285513,0.31057796,0.30038965,0.3061971,0.5894095,0.31358153,0.6579218,0.21739107,0.571152,0.3004437,0.25092703,0.6988487,0.29284155,0.40909976,0.46004665,0.67285115,0.6335722,0.41329396,0.6158105,0.62524414,0.32951134,0.39923856,0.47402152,0.7119462,0.6057128,0.7381154,0.74528205,0.5086871,0.2912692,0.569264,0.4347511,0.6728859,0.24380922,0.4843601,0.34382796,0.28056067,0.4364345,0.47135228,0.46876174,0.43190765,0.54847825,0.3211333,0.5233352,0.48137188,0.34633705,0.6354268,0.499026,0.70447224,0.34119022,0.3133673,0.5793084,0.5310788,0.23964103,0.634994,0.7459022,0.27343708,0.58696806,0.49250206,0.38668954,0.34870702,0.62409633,0.38302967,0.66840947,0.57944673,0.40364575
X01BR033,0.6342478,0.38557738,0.5963477,0.6254686,0.4893695,0.6596759,0.44693023,0.52838194,0.537097,0.5963624,0.3366209,0.3365298,0.45011413,0.54234666,0.5294726,0.4884013,0.4700858,0.59121364,0.32244322,0.37571028,0.39101833,0.55768776,0.58687997,0.51894844,0.40033543,0.4551183,0.43595716,0.48094547,0.3641026,0.44015455,0.54288256,0.64024687,0.6712109,0.5110148,0.49583924,0.6169027,0.6735657,0.63990045,0.4921685,0.5333179,0.46956608,0.43484184,0.61296165,0.539235,0.64183253,0.6482638,0.545409,0.45260948,0.4090885,0.565476,0.48781258,0.42958152,0.72841847,0.42257717,0.40940136,0.4838575,0.48627847,0.6341506,0.29407683,0.3996718,0.42891634,0.29204354,0.468687,0.64470184,0.45370567,0.34022763,0.40654975,0.68560857,0.5194464,0.50120926,0.61031616,0.39433125,0.49501443,0.51383007,0.38038772,0.4318307,0.4749373,0.49609056,0.56127167,0.5314919,0.40779206,0.46623075,0.46711716,0.5018852,0.6548002,0.38312578,0.6073147,0.59127176,0.3832402,0.4196245,0.65548635,0.58230567,0.36859113,0.44315347,0.59608066,0.53541666,0.60714275,0.5250992,0.40040466,0.7050128
X01BR040,0.7427224,0.7168419,0.25586313,0.46339393,0.3579517,0.25255716,0.7200204,0.2425551,0.5616393,0.3537156,0.3482245,0.4983199,0.3078727,0.25218746,0.22771637,0.2708394,0.24473421,0.3799594,0.7233725,0.70202076,0.7653389,0.7520587,0.2842776,0.70217115,0.2771582,0.44750497,0.28316182,0.37331492,0.3552595,0.25010368,0.64764065,0.7553529,0.4358273,0.45596725,0.5661349,0.7021079,0.32830554,0.3282271,0.6146406,0.73607945,0.55258775,0.22473621,0.3577519,0.3259859,0.71304554,0.4223671,0.6817763,0.7047756,0.5204613,0.74347186,0.34472996,0.3117801,0.36150503,0.5908371,0.25159428,0.38040078,0.34682205,0.40944844,0.37081492,0.49900782,0.430537,0.6492719,0.7133678,0.7140615,0.76400554,0.69476324,0.5307859,0.5300205,0.3029424,0.65638864,0.66427714,0.63331616,0.6822979,0.67719,0.55548954,0.66705513,0.6996275,0.28350517,0.76783794,0.38467926,0.3093567,0.7185286,0.23220044,0.3012786,0.28114572,0.61565685,0.36910406,0.67629415,0.69343287,0.5211654,0.7413539,0.3293901,0.6929552,0.26539055,0.35938117,0.6867306,0.7751027,0.3826811,0.6250674,0.35401914
X01BR042,0.64181304,0.7468853,0.23003688,0.35539716,0.5278518,0.25425026,0.7021087,0.26149595,0.577641,0.37357673,0.46697077,0.6206733,0.35411406,0.3154223,0.22155431,0.29794252,0.2663619,0.55962104,0.6731635,0.768479,0.75655013,0.6234339,0.2894495,0.7115538,0.4263847,0.5113294,0.29232895,0.33569795,0.51141316,0.30294192,0.60945284,0.71047294,0.38075572,0.47310027,0.5996443,0.58837163,0.33148333,0.2872544,0.5814196,0.71142864,0.50115347,0.25533426,0.26326025,0.4366955,0.654716,0.34886172,0.657031,0.55001706,0.5232923,0.7678989,0.35592976,0.36651653,0.30469936,0.6554534,0.315568,0.3151549,0.31135738,0.35693455,0.45069835,0.47577453,0.47218728,0.7201765,0.67797524,0.57574034,0.7354278,0.7386469,0.61413634,0.41142312,0.2983896,0.6791267,0.5871591,0.6152578,0.65212995,0.695194,0.6057651,0.60541725,0.70241684,0.31314364,0.7380632,0.3861801,0.33457327,0.75519156,0.301463,0.3965624,0.31248754,0.6243156,0.42190462,0.59955,0.750148,0.5245671,0.53145266,0.3275077,0.6586393,0.2252081,0.32892078,0.7229969,0.698051,0.41398835,0.6397173,0.32512957
