epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100
CDK12,CDK12,CDK12,CDK12,CDK12,CDK12,CDK12,CDK12,PGAP3,PGAP3
PGAP3,PGAP3,PGAP3,PGAP3,PGAP3,PGAP3,PGAP3,PGAP3,CDK12,CDK12
ERBB2,ERBB2,ERBB2,ERBB2,ERBB2,ERBB2,IKZF3,IKZF3,IKZF3,MIR4728
MIR4728,IKZF3,IKZF3,IKZF3,IKZF3,IKZF3,ERBB2,ERBB2,ERBB2,IKZF3
IKZF3,MIR4728,MIR4728,MIR4728,MIR4728,MIR4728,MIR4728,MIR4728,MIR4728,ERBB2
MIEN1_y,MIEN1_y,MIEN1_y,MIEN1_y,MIEN1_y,MIEN1_y,MIEN1_y,MIEN1_y,MIEN1_y,MIEN1_y
NEUROD2,PNMT_y,PNMT_y,PNMT_y,PNMT_y,PNMT_y,PNMT_y,GRB7_y,GRB7_y,GRB7_y
PNMT_y,GRB7_y,GRB7_y,GRB7_y,GRB7_y,GRB7_y,GRB7_y,PNMT_y,PNMT_y,PNMT_y
GRB7_y,NEUROD2,NEUROD2,MED1_y,MED1_y,MED1_y,MED1_y,MED1_y,MED1_y,MED1_y
MED1_y,MED1_y,MED1_y,NEUROD2,NEUROD2,NEUROD2,NEUROD2,NEUROD2,NEUROD2,NEUROD2
TCAP,TCAP,TCAP,TCAP,TCAP,TCAP,TCAP,TCAP,TCAP,TCAP
STARD3,STARD3,LRRC3C,LRRC3C,LRRC3C,LRRC3C,LRRC3C,LRRC3C,LRRC3C,LRRC3C
PPP1R1B_y,PPP1R1B_y,PPP1R1B_y,PPP1R1B_y,PPP1R1B_y,PPP1R1B_y,PPP1R1B_y,GSDMA,GSDMA,WASH3P_y
LRRC3C,LRRC3C,STARD3,STARD3,STARD3,GSDMA,GSDMA,PPP1R1B_y,WASH3P_y,GSDMA
GSDMA,GSDMA,GSDMA,GSDMA,GSDMA,STARD3,STARD3,STARD3,STARD3,STARD3
ORMDL3,PSMD3,PSMD3,PSMD3,PSMD3,PSMD3,WASH3P_y,WASH3P_y,PPP1R1B_y,PPP1R1B_y
PSMD3,ORMDL3,ORMDL3,ORMDL3,ORMDL3,WASH3P_y,PSMD3,PSMD3,PSMD3,PSMD3
