epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100
CARTPT,CARTPT,CARTPT,CARTPT,CARTPT,CARTPT,CARTPT,CARTPT,CARTPT,CARTPT
LALBA,FABP7,FABP7,FABP7,FABP7,FABP7,FABP7,FABP7,FABP7,S100A7
FABP7,LALBA,LALBA,LALBA,LALBA,LALBA,S100A7,S100A7,S100A7,FABP7
S100A7,S100A7,S100A7,S100A7,S100A7,S100A7,LALBA,LALBA,LALBA,LALBA
SCGB1D2,SCGB1D2,SCGB1D2,SCGB1D2,SCGB1D2,SCGB1D2,SCGB1D2,SCGB1D2,SCGB1D2,SCGB1D2
CHGB_x,CHGB_x,CHGB_x,CHGB_x,CHGB_x,CHGB_x,CHGB_x,CHGB_x,CHGB_x,CHGB_x
MUC2_x,DHRS2,DHRS2,DHRS2,DHRS2,DHRS2,DHRS2,MUC2_x,MUC2_x,MUC2_x
DHRS2,MUC2_x,MUC2_x,MUC2_x,MUC2_x,MUC2_x,MUC2_x,DHRS2,DHRS2,DHRS2
CLEC3A_x,TFF1,TFF1,TFF1,TFF1,TFF1,TFF1,TFF1,GSTM1_y,GSTM1_y
TFF1,CLEC3A_x,GSTM1_y,GSTM1_y,CLEC3A_x,CLEC3A_x,GSTM1_y,GSTM1_y,TFF1,TFF1
CPB1,GSTM1_y,CLEC3A_x,CLEC3A_x,GSTM1_y,GSTM1_y,CLEC3A_x,CLEC3A_x,CLEC3A_x,CLEC3A_x
GSTM1_y,CPB1,CPB1,CPB1,CPB1,CPB1,CPB1,CPB1,CPB1,CPB1
PVALB,PVALB,MUCL1,MUCL1,PVALB,PVALB,PVALB,PVALB,PVALB,PVALB
FGFR2_y,A2ML1_x,PVALB,PVALB,MUCL1,MUCL1,HBG2,MUCL1,MUCL1,PNMT
HLA-DRB5_y,MUCL1,A2ML1_x,A2ML1_x,A2ML1_x,HBG2,MUCL1,HBG2,PNMT,MUCL1
A2ML1_x,FGFR2_y,CYP2A6_x,HBG2,HBG2,A2ML1_x,A2ML1_x,A2ML1_x,HBG2,HBG2
