epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100
PIK3CA,PIK3CA,TP53,TP53,TP53,TP53,TP53,TP53,TP53,TP53
TTN_y,TP53,PIK3CA,PIK3CA,PIK3CA,PIK3CA,PIK3CA,PIK3CA,PIK3CA,PIK3CA
TP53,TTN_y,TTN_y,TTN_y,TTN_y,TTN_y,TTN_y,TTN_y,TTN_y,TTN_y
HMCN1,MUC16,RYR1_y,RYR1_y,PTEN,PTEN,PTEN,PTEN,PTEN,PTEN
ABCA13_y,HMCN1,HMCN1,HMCN1,GATA3_y,GATA3_y,GATA3_y,GATA3_y,GATA3_y,GATA3_y
MUC16,ABCA13_y,MUC16,FLG,HMCN1,HMCN1,HMCN1,HMCN1,HMCN1,HMCN1
MAP3K1,RYR1_y,FLG,MUC16,FLG,FLG,FLG,FLG,FLG,BEGAIN
PKHD1L1,MAP3K1,DST,DST,RYR1_y,RYR1_y,RYR1_y,RYR1_y,RYR1_y,RYR1_y
RYR1_y,PKHD1L1,ABCA13_y,GATA3_y,MUC16,MUC16,MUC16,MUC16,MUC16,FLG
FLG,FLG,DNAH11,ABCA13_y,DST,DST,CDH1,CDH1,BEGAIN,MUC16
PCLO_y,DST,MAP3K1,PTEN,ABCA13_y,ABCA13_y,DST,DST,CDH1,CDH1
PKHD1,DNAH11,PKHD1L1,DNAH11,DNAH11,DNAH11,MAP3K1,MAP3K1,DST,CTC1_y
DNAH11,PCLO_y,PCLO_y,MAP3K1,MAP3K1,MAP3K1,DNAH11,DNAH11,MAP3K1,DST
DST,PKHD1,PKHD1,PKHD1L1,PKHD1L1,CDH1,ABCA13_y,ABCA13_y,DNAH11,MAP3K1
MUC5B_y,MUC5B_y,GATA3_y,PCLO_y,CDH1,PKHD1L1,EXPH5,BEGAIN,ABCA13_y,ABCA13_y
HERC1,HERC1,HERC1,PKHD1,PCLO_y,PCLO_y,PKHD1L1,EXPH5,EXPH5,DNAH11
OBSCN,OBSCN,PTEN,CDH1,PKHD1,HERC1,DNHD1,DNHD1,CTC1_y,EXPH5
KMT2C,CDH1,MUC5B_y,HERC1,HERC1,OBSCN,PCLO_y,PKHD1L1,DNHD1,DNHD1
SPTA1,KMT2C,CDH1,OBSCN,OBSCN,PKHD1,HERC1,OBSCN,PKHD1L1,SP3
SYNE1,SYNE1,OBSCN,MUC5B_y,KMT2C,KMT2C,OBSCN,HERC1,HERC1,NEB_y
NEB_y,SPTA1,DNAH14_y,PRRC2C,SPTA1,DNHD1,KMT2C,NEB_y,NEB_y,PKHD1L1
CDH1,CACNA1E,SPTA1,SPTA1,MUC5B_y,MUC5B_y,NEB_y,PCLO_y,OBSCN,MUC5B_y
CCDC168_y,NEB_y,PRRC2C,DNAH14_y,PRRC2C,NEB_y,MUC5B_y,MUC5B_y,MUC5B_y,OBSCN
AHNAK_y,PRRC2C,SYNE1,KMT2C,NEB_y,PRRC2C,PKHD1,KMT2C,KMT2C,KMT2C
CACNA1E,DNAH14_y,KMT2C,NEB_y,DNAH14_y,SPTA1,PRRC2C,PKHD1,SP3,HERC1
PRRC2C,CCDC168_y,AHNAK_y,SYNE1,DNHD1,DNAH14_y,FREM2,SP3,PCLO_y,NCOR1
GPR98,AHNAK_y,CCDC168_y,CCDC168_y,SYNE1,EXPH5,SPTA1,FREM2,PKHD1,CENPF
DNAH14_y,GPR98,NEB_y,AHNAK_y,FREM2,FREM2,DNAH14_y,PRRC2C,FREM2,PCLO_y
RNF213,KIAA1109,KIAA1109,GPR98,AHNAK_y,FAT4_y,BEGAIN,SPTA1,CENPF,PKHD1
FREM2,PTEN,CACNA1E,KIAA1109,CCDC168_y,SYNE1,FAT4_y,FAT4_y,FAT4_y,FREM2
KIAA1109,FREM2,GPR98,FREM2,FAT4_y,AHNAK_y,ROCK1,DNAH14_y,SPTA1,FAT4_y
IGFN1,GATA3_y,DNAH9_y,CACNA1E,GPR98,CCDC168_y,AHNAK_y,CENPF,PRRC2C,SPTA1
FAT2,RNF213,FREM2,FAT4_y,CACNA1E,ROCK1,SYNE1,CTC1_y,DNAH14_y,PRRC2C
WDFY4,FAT4_y,FAT4_y,DNAH9_y,KIAA1109,GPR98,CCDC168_y,ROCK1,RNF213,DNAH14_y
NIPBL,DNAH9_y,ROCK1,ROCK1,ROCK1,CACNA1E,CENPF,SYNE1,ROCK1,RNF213
SPEN,FAT2,TTC28_y,TTC28_y,EXPH5,KIAA1109,GPR98,CCDC168_y,NCOR1,ROCK1
ASH1L_y,IGFN1,MYRF,MKI67,DNAH9_y,MKI67,CACNA1E,AHNAK_y,CCDC168_y,WDR7
FMN2,LRP2,FSIP2_y,DNHD1,TTC28_y,DNAH9_y,KIAA1109,DNAH9_y,SYNE1,SSH1
LRP2,FSIP2_y,IGFN1,MYRF,MKI67,TTC28_y,SP3,GPR98,AHNAK_y,PRRG1_y
FSIP2_y,WDFY4,MKI67,IGFN1,MYRF,MYRF,MKI67,CACNA1E,DNAH9_y,XRRA1
RIMS1,SPEN,RNF213,FSIP2_y,FSIP2_y,CENPF,DNAH9_y,MKI67,WDR7,PCDHA6_y
FAT4_y,FMN2,MACF1,FMN2,IGFN1,FSIP2_y,TTC28_y,RNF213,GPR98,DNAH9_y
DNAH9_y,NIPBL,LRP2,ANK2_y,FMN2,IGFN1,MYRF,KIAA1109,CACNA1E,CCDC168_y
GATA3_y,ROCK1,SPEN,MACF1,CENPF,KIF26B,RNF213,TTC28_y,MKI67,AHNAK_y
DNHD1,MYRF,FMN2,NIPBL,MACF1,ANK2_y,FSIP2_y,WDR7,KIAA1109,SYNE1
ANK2_y,ASH1L_y,NIPBL,SPEN,KIF26B,FMN2,IGFN1,MYRF,TTC28_y,CACNA1E
TNRC6C_y,DNHD1,FAT2,RNF213,ANK2_y,RNF213,NOTCH1_y,SSH1,SSH1,MKI67
MKI67,MACF1,ANK2_y,KIF26B,NIPBL,ASH1L_y,KIF26B,PCDHA6_y,PCDHA6_y,KIAA1109
ARHGAP23,MKI67,DNHD1,SACS_y,SPEN,SPEN,NIPBL,FSIP2_y,PRRG1_y,GPR98
USH2A,TTC28_y,WDFY4,LRP2,ASH1L_y,MACF1,SSH1,ZNF541_y,MYRF,TTC28_y
SACS_y,USH2A,ASH1L_y,WDFY4,SACS_y,NIPBL,MACF1,NOTCH1_y,IQGAP3,IQGAP3
MYRF,RIMS1,KIF26B,ASH1L_y,WDFY4,SACS_y,ASH1L_y,IGFN1,FSIP2_y,MYRF
MACF1,ARHGAP23,SACS_y,SETD1B_y,USH2A,USH2A,PCDHA6_y,PRRG1_y,IGFN1,FREM1
ROCK1,ANK2_y,SETD1B_y,FAT2,RNF213,WDFY4,ANK2_y,NUP210L,NUP210L,NOTCH1_y
PRDM16,SACS_y,ARHGAP23,USH2A,LRP2,NOTCH1_y,FMN2,KIF26B,NOTCH1_y,FSIP2_y
PTEN,NOTCH3,USH2A,FAT3,SETD1B_y,LRP2,NUP210L,ACACA_y,ZNF541_y,TUBAL3_y
FOXA1_y,TNRC6C_y,RIMS1,CENPF,FAT2,NUP210L,FZD2_y,ASH1L_y,ACACA_y,NUP210L
NOTCH3,KIF26B,NOTCH3,EXPH5,ZFHX3_y,SETD1B_y,CTC1_y,MACF1,ANK2_y,ZNF541_y
SRRM4,SRRM4,SRRM4,ARHGAP23,FAT3,FAT2,SETD1B_y,SCMH1,FREM1,TULP3_y
TTC28_y,SETD1B_y,FAT3,RIMS1,RIMS1,FAT3,SACS_y,ANK2_y,KIF26B,IGFN1
FLNC,FOXA1_y,CENPF,NOTCH3,ARHGAP23,ZFHX3_y,SPEN,NCOR1,XRRA1,COL4A5
FAT3,DNAH17_y,DNAH17_y,SRRM4,NUP210L,RIMS1,LRP2,NIPBL,ASH1L_y,ACACA_y
DNAH17_y,FAT3,FOXA1_y,FOXA1_y,SRRM4,ARHGAP23,USH2A,TULP3_y,TULP3_y,KIF26B
ALPK2_y,CENPF,TNRC6C_y,ZFHX3_y,NOTCH1_y,SRRM4,WDFY4,FMN2,MACF1,ANK2_y
CMYA5_y,CMYA5_y,CMYA5_y,TNRC6C_y,NOTCH3,NOTCH3,PRDM16,IQGAP3,NIPBL,MACF1
KMT2D,FLNC,ZFHX3_y,CMYA5_y,FOXA1_y,PRDM16,FAT3,PRDM16,PRDM16,ASH1L_y
LPA_y,ALPK2_y,BOD1L1,NUP210L,PRDM16,PCDHA6_y,ACACA_y,SACS_y,COL4A5,SCMH1
MYH14,PRDM16,PRDM16,PRDM16,APOB_y,FZD2_y,FAT2,SETD1B_y,SCMH1,ARID2
COL6A6_y,MYH14,FLNC,DNAH17_y,TNRC6C_y,FOXA1_y,ZFHX3_y,SPEN,SACS_y,CCDC158
KIF26B,BOD1L1,MYH14,BOD1L1,TENM4_y,PCDH1,WDR7,FZD2_y,FMN2,NIPBL
CENPF,ZFHX3_y,RTL1,APOB_y,CMYA5_y,SP3,PRRG1_y,LRP2,SETD1B_y,SACS_y
ADAMTSL3,ZFHX4,MYO7A_y,TENM4_y,BAI1,BEGAIN,RIMS1,ZFHX3_y,SPEN,PRDM16
KIAA1614,LPA_y,PCDHA6_y,NOTCH1_y,PCDH1,TENM4_y,ARHGAP23,COL4A5,LRP2,SETD1B_y
ZFHX3_y,ADAMTSL3,ALPK2_y,PCDHA6_y,PCDHA6_y,BAI1,IQGAP3,USH2A,USH2A,SPEN
ZFHX4,COL6A6_y,ADAMTSL3,RTL1,IGSF10,TNRC6C_y,PCDH1,WDFY4,WDFY4,FMN2
KIAA1549_y,PCDHA6_y,TENM4_y,BAI1,RTL1,APOB_y,FOXA1_y,FAT3,FAT3,LRP2
ZNF831,PTPRD_y,APOB_y,FLNC,DNAH17_y,IQGAP3,SRRM4,RIMS1,ZFHX3_y,ZFHX3_y
PTPRD_y,MYO7A_y,IGSF10,MYH14,MYO7A_y,IGSF10,NOTCH3,FAT2,RIMS1,RIMS1
BOD1L1,MON2,BAI1,MYO7A_y,BOD1L1,CROCC,ZNF541_y,FOXA1_y,TUBAL3_y,USH2A
PPP1R26_y,KIAA1549_y,ZFHX4,IGSF10,FLNC,CMYA5_y,COL4A5,ARHGAP23,ARID2,WDFY4
SETD1B_y,ZNF831,PTPRD_y,ADAMTSL3,MYH14,ASCC3,TENM4_y,FREM1,FOXA1_y,FAT3
ASPM,VPS13C,LPA_y,ALPK2_y,ASCC3,RTL1,BAI1,SRRM4,ARHGAP23,FOXA1_y
