epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100
S100A9_x,PLIN5_x,CIDEC,PLIN5_x,PSAT1_x,PSAT1_x,SYT1_x,LONRF2_x,CIDEC,CIDEC
PSAT1_x,CIDEC,LONRF2_x,PSAT1_x,PLIN5_x,SYT1_x,PSAT1_x,CIDEC,LONRF2_x,LONRF2_x
PLIN5_x,PSAT1_x,PEG10_x,CIDEC,CIDEC,CIDEC,CIDEC,PSAT1_x,PSAT1_x,ADCY1_x
LONRF2_x,LONRF2_x,PSAT1_x,PEG10_x,SCUBE2_x,SCUBE2_x,SCUBE2_x,ADCY1_x,ADCY1_x,CCR6
CFHR3_x,GS1-259H13.2,ADCY1_x,ADCY1_x,ADCY1_x,CCR6,BTN2A3P,SCUBE2_x,SCUBE2_x,PSAT1_x
AOC2,CLDN15,NHSL2_x,BTN2A3P,BTN2A3P,BTN2A3P,ADCY1_x,CCR6,CCR6,SOX9-AS1
GS1-259H13.2,ADCY1_x,CCR6,SCUBE2_x,PEG10_x,ADCY1_x,CCR6,BTN2A3P,SOX9-AS1,BTN2A3P
CCDC144A,CCR6,BTN2A3P,NOVA1_x,CCR6,PEG10_x,DACH1_x,SOX9-AS1,GS1-259H13.2,SCUBE2_x
CCR6,AOC2,CLDN15,CCR6,NOVA1_x,DACH1_x,NOVA1_x,GS1-259H13.2,BTN2A3P,NOVA1_x
TCP10L,NHSL2_x,NOVA1_x,NHSL2_x,DACH1_x,NOVA1_x,PEG10_x,NOVA1_x,PEG10_x,GS1-259H13.2
CLDN15,TCP10L,GS1-259H13.2,SOX9-AS1,GS1-259H13.2,SOX9-AS1,GS1-259H13.2,PEG10_x,NKAIN1_x,NKAIN1_x
NHSL2_x,CFHR3_x,AOC2,GS1-259H13.2,SOX9-AS1,GS1-259H13.2,SOX9-AS1,NKAIN1_x,NOVA1_x,PEG10_x
NOVA1_x,NOVA1_x,LINC00174,LINC00174,NHSL2_x,NKAIN1_x,NHSL2_x,DACH1_x,NHSL2_x,NHSL2_x
ADCY1_x,BTN2A3P,SOX9-AS1,DACH1_x,LINC00174,NHSL2_x,NKAIN1_x,NHSL2_x,DACH1_x,AOC2
SOX9-AS1,SOX9-AS1,TCP10L,CLDN15,NKAIN1_x,CLDN15,CLDN15,AOC2,CLDN15,CLDN15
FAR2P2,CCDC144A,SCUBE2_x,AOC2,CLDN15,AOC2,AOC2,CLDN15,AOC2,DACH1_x
BTN2A3P,LINC00174,FAR2P2,TCP10L,AOC2,LINC00174,CFHR3_x,CFHR3_x,AFF3_x,CFHR3_x
LINC00174,FAR2P2,APOD_x,NKAIN1_x,APOD_x,AFF3_x,AFF3_x,AFF3_x,CFHR3_x,CCDC144A
APOD_x,APOD_x,DACH1_x,APOD_x,AFF3_x,TCP10L,LINC00174,LINC00174,CCDC144A,AFF3_x
NKAIN1_x,SCUBE2_x,NKAIN1_x,FAR2P2,TCP10L,APOD_x,TCP10L,TCP10L,LINC00174,TCP10L
FCRL6_x,NKAIN1_x,CFHR3_x,AFF3_x,FAR2P2,CFHR3_x,APOD_x,CCDC144A,TCP10L,LINC00174
CCDC17_x,CCDC17_x,CCDC144A,CFHR3_x,CFHR3_x,FAR2P2,FAR2P2,CCDC17_x,APOD_x,APOD_x
SCUBE2_x,DACH1_x,CCDC17_x,CCDC17_x,CCDC144A,CCDC17_x,CCDC144A,APOD_x,CCDC17_x,CCDC17_x
DACH1_x,GALNT14_x,AFF3_x,CCDC144A,CCDC17_x,CCDC144A,CCDC17_x,FAR2P2,FAR2P2,FAR2P2
AQPEP,AFF3_x,GALNT14_x,GALNT14_x,AQPEP,AQPEP,AQPEP,AQPEP,AQPEP,CCL19
AFF3_x,FCRL6_x,CD99P1,AQPEP,GALNT14_x,GALNT14_x,SHISA2,SHISA2,GALNT14_x,MS4A1_x
GNG4,CD99P1,CHIT1,CD99P1,SHISA2,SHISA2,GALNT14_x,GALNT14_x,CCL19,HAUS6_x
GALNT14_x,CHIT1,MS4A1_x,SHISA2,CD99P1,GNG4,SLPI_x,SLPI_x,SHISA2,GALNT14_x
SMOC1,SMOC1,SHISA2,TPRG1,TPRG1,SLPI_x,TPRG1,MS4A1_x,MS4A1_x,MAGED4B
CCL19,MS4A1_x,AQPEP,MS4A1_x,GNG4,TPRG1,GNG4,TPRG1,HAUS6_x,SHISA2
HAUS6_x,CCL19,FCRL6_x,GNG4,SLPI_x,MS4A1_x,MS4A1_x,CCL19,SLPI_x,TPRG1
TAOK2_x,TAOK2_x,TPRG1,CHIT1,MS4A1_x,CD99P1,CCL19,HAUS6_x,TPRG1,FCRL6_x
CECR2_x,GNG4,CCL19,TAOK2_x,CHIT1,FCRL6_x,CD99P1,GNG4,FCRL6_x,AQPEP
MS4A1_x,TPRG1,GNG4,CCL19,CCL19,CCL19,FCRL6_x,FCRL6_x,CHIT1,SLPI_x
MAGED4B,AQPEP,TAOK2_x,FCRL6_x,FCRL6_x,HAUS6_x,HAUS6_x,CD99P1,CD99P1,CHIT1
TPRG1,CECR2_x,SMOC1,SLPI_x,HAUS6_x,CHIT1,CHIT1,CHIT1,MAGED4B,GNG4
ACRC,MAGED4B,HAUS6_x,HAUS6_x,CDHR3_x,CCL13,CCL13,MAGED4B,GNG4,RASA4B
CD99P1,HAUS6_x,CDHR3_x,CDHR3_x,TAOK2_x,CDHR3_x,CDHR3_x,CDHR3_x,CDHR3_x,CD99P1
CHIT1,SHISA2,RASA4B,SMOC1,IDO1_x,IDO1_x,MAGED4B,CCL13,RASA4B,ALDH3B2_x
SHISA2,ACRC,CECR2_x,C1orf95_x,CCL13,TAOK2_x,IDO1_x,TRIM29_x,TRIM29_x,CDHR3_x
ZNF876P,CDHR3_x,C1orf95_x,RASA4B,C1orf95_x,TRIM29_x,SMOC1,RASA4B,CCL13,TRIM29_x
CDHR3_x,C1orf95_x,MAGED4B,CECR2_x,RASA4B,RASA4B,RASA4B,ALDH3B2_x,ALDH3B2_x,CCL13
SLPI_x,RASA4B,SLPI_x,MAGED4B,SMOC1,MAGED4B,TRIM29_x,CHI3L2_x,CHI3L2_x,CHI3L2_x
RASA4B,LILRA1_x,ACRC,IDO1_x,ZNF676_x,SMOC1,ZNF676_x,SMOC1,SMOC1,ACRC
