Gene
CARTPT
LALBA
FABP7
S100A7
SCGB1D2
CHGB_x
MUC2_x
DHRS2
CLEC3A_x
TFF1
GSTM1_y
CPB1
PVALB
MUCL1
PNMT
FGFR2_y
A2ML1_x
HBG2
HLA-DRB5_y
CYP2A6_x
PDZK1
CRABP1
GLYATL2_x
PLIN4_x
SERPINB5
KRT6A_x
HPGD_y
AKR1B10
DES_x
CLIC6_y
KRT6B_x
MUC5B_x
HMGCS2
CST5
S100P_y
ALOX15B_y
PCSK1_x
SCGB2A2_x
S100A9_y
CSTA_y
SCGN_x
STC2_y
PLA2G2A_x
GP2_x
CLC
OMD_y
PIP
SSR3_y
S100A8_y
KRT15_x
ITGAE_y
NQO1_y
PRTN3
CALML5_x
GFRA1_y
CHAD_x
APOD_y
DNAJC12_y
GSTA1_x
C1QTNF3_y
HBG1
CEACAM5_x
IGF2BP3_x
SLPI_y
ADH1B
KRT36
S100A1
CXCL14
AKR1C2_x
HBD_x
GSTM3
WFDC2
S100A12
TMA7
GSTM5
NAT1_y
HLA-DRB3
GPD1_x
CAPS
POF1B_x
KRT10_y
TMSB15A_y
BCAS1_x
VTCN1_x
BPI_x
CYP4X1_y
KRT5_x
THBS1_y
PGK2
ABAT_x
KRT16_x
HGD_y
LGALS7
CBS_y
CAMP
RBP5
PSAT1_y
CLSTN2_x
PLIN1_y
EML6_x
MUSTN1_y
HIST1H1C_y
REEP6_y
TFF3
KRT14_x
MB_y
LAMC2_y
MAP3K3_y
AHSP
TBCE_y
DEFA3
TRIM29_y
OLFM4_x
C19orf33
LRP2_y
