Gene
PIK3CA
TP53
TTN_y
HMCN1
MUC16
RYR1_y
PTEN
ABCA13_y
FLG
GATA3_y
MAP3K1
BEGAIN
PKHD1L1
DST
CDH1
DNAH11
PCLO_y
PKHD1
CTC1_y
EXPH5
MUC5B_y
HERC1
OBSCN
DNHD1
KMT2C
SP3
SPTA1
SYNE1
PRRC2C
NEB_y
DNAH14_y
NCOR1
CACNA1E
CCDC168_y
AHNAK_y
GPR98
FREM2
CENPF
RNF213
KIAA1109
FAT4_y
ROCK1
IGFN1
DNAH9_y
FAT2
WDR7
WDFY4
SSH1
NIPBL
SPEN
TTC28_y
ASH1L_y
MYRF
MKI67
FMN2
LRP2
FSIP2_y
PCDHA6_y
XRRA1
RIMS1
MACF1
PRRG1_y
ANK2_y
KIF26B
TNRC6C_y
SACS_y
NOTCH1_y
ZNF541_y
ARHGAP23
USH2A
IQGAP3
NUP210L
COL4A5
SETD1B_y
SCMH1
PRDM16
NOTCH3
ACACA_y
FOXA1_y
FZD2_y
TULP3_y
FAT3
SRRM4
TUBAL3_y
FREM1
FLNC
ZFHX3_y
DNAH17_y
CCDC158
ALPK2_y
CMYA5_y
KMT2D
LPA_y
BOD1L1
MYH14
APOB_y
COL6A6_y
RTL1
BAI1
ADAMTSL3
ZFHX4
MYO7A_y
TENM4_y
PCDH1
ARID2
KIAA1614
KIAA1549_y
ZNF831
PTPRD_y
IGSF10
ASCC3
MON2
CROCC
RLTPR
PPP1R26_y
ASPM
VPS13C
COG1_y
PTPRO_y
TECTA_y
DNAH7
PLEC
NFASC_y
RUNX1
FOXO6_y
FRAS1_y
VWDE
ITPKC_y
KIAA1875
MUC17
UTRN
DNAJC13
CCDC141
EP400
MLLT4_y
BSN
NUMA1
OTOG
ZSCAN22
ATN1
